name,art_nr,country,volume,alc_vol,price
Black Stallion,Nr 6207,USA,750 ml,"14,5 % vol.",289:-
Domaine du Vieux Lazaret,Nr 2211,Frankrike,750 ml,15 % vol.,275:-
Bolla Le Poiane,Nr 70215,Italien,750 ml,15 % vol.,289:-
Lat 42 Reserva,Nr 2043,Spanien,1 500 ml,"14,5 % vol.",299:-
Brunello di Montalcino,Nr 12357,Italien,750 ml,"14,5 % vol.",299:-
Enzo Bartoli,Nr 79600,Italien,1 500 ml,14 % vol.,299:-
Barolo,Nr 20055,Italien,750 ml,14 % vol.,295:-
Xavier Vignon,Nr 6267,Frankrike,750 ml,15 % vol.,285:-
Ca' Montini,Nr 12363,Italien,750 ml,15 % vol.,289:-
Barolo Albe,Nr 2398,Italien,750 ml,14 % vol.,279:-
Château Lilian Ladouys,Nr 95991,Frankrike,750 ml,"13,5 % vol.",299:-
Hedges Family Estate,Nr 93016,USA,750 ml,"13,5 % vol.",279:-
Louis Jadot,Nr 77493,Frankrike,750 ml,"13,5 % vol.",299:-
ÀN/2,Nr 70120,Spanien,750 ml,"13,5 % vol.",289:-
Borgogno,Nr 73661,Italien,750 ml,14 % vol.,299:-
Calera,Nr 87282,USA,750 ml,"14,5 % vol.",299:-
Château Musar,Nr 71203,Libanon,375 ml,14 % vol.,279:-
Double Canyon,Nr 95000,USA,750 ml,14 % vol.,289:-
Barbaresco,Nr 22013,Italien,750 ml,14 % vol.,279:-
Domaine du Château Philippe le Hardi,Nr 20046,Frankrike,750 ml,"13,5 % vol.",297:-
Zolo Black,Nr 2761,Argentina,750 ml,"14,5 % vol.",299:-
Brunelli,Nr 74045,Italien,750 ml,15 % vol.,289:-
Avalon,Nr 5725,USA,750 ml,"14,5 % vol.",299:-
Contrada Blandano,Nr 90192,Italien,750 ml,14 % vol.,299:-
Brunello di Montalcino,Nr 3097,Italien,750 ml,"14,5 % vol.",289:-
La Estrecha,Nr 93104,Spanien,750 ml,"12,5 % vol.",271:-
Remelluri,Nr 92498,Spanien,750 ml,14 % vol.,299:-
Schubert Estate,Nr 92617,Nya Zeeland,750 ml,14 % vol.,289:-
Marys Backe,Nr 92355,Sverige,750 ml,12 % vol.,295:-
Bit i kudden skattebetalare,Nr 38232,EU,750 ml,"11,5 % vol.",295:-
Bit i kudden skattebetalare,Nr 38232,EU,750 ml,"11,5 % vol.",295:-
Son Antem,Nr 93727,Spanien,750 ml,"13,5 % vol.",299:-
Linje 11,Nr 38309,EU,750 ml,"12,5 % vol.",277:-
Clos de l´Olive,Nr 92489,Frankrike,750 ml,14 % vol.,299:-
Guímaro,Nr 95301,Spanien,750 ml,14 % vol.,291:-
Joiseph,Nr 93047,Österrike,750 ml,13 % vol.,279:-
Ramnasgras,Nr 90045,Sydafrika,750 ml,12 % vol.,273:-
Courbis Saint-Joseph,Nr 93823,Frankrike,750 ml,"14,5 % vol.",299:-
Gloria,Nr 92384,Argentina,750 ml,"12,5 % vol.",289:-
Barda,Nr 90382,Argentina,750 ml,"12,5 % vol.",275:-
Haut-Médoc Giscours,Nr 92534,Frankrike,750 ml,14 % vol.,299:-
Stielle Gran Selezione,Nr 94311,Italien,750 ml,14 % vol.,280:-
Hisingen Blues,Nr 38842,EU,750 ml,12 % vol.,299:-
Les Laquets,Nr 93572,Frankrike,750 ml,"14,5 % vol.",297:-
Veronica Ortega,Nr 94330,Spanien,750 ml,12 % vol.,287:-
Benanti,Nr 92826,Italien,750 ml,"13,5 % vol.",297:-
Cerro Basalto,Nr 90472,Chile,750 ml,"14,5 % vol.",299:-
Doppiozeta,Nr 94360,Italien,750 ml,"13,5 % vol.",289:-
Chianti Classico Nuovo,Nr 90515,Italien,750 ml,"14,5 % vol.",295:-
Dominio del Aguila,Nr 94121,Spanien,750 ml,14 % vol.,296:-
Les Bois de Lalier,Nr 92981,Frankrike,750 ml,14 % vol.,279:-
A Tribute to Grace,Nr 92689,USA,750 ml,14 % vol.,276:-
Tenuta di Fessina,Nr 90084,Italien,750 ml,"13,5 % vol.",299:-
Domaine Face B,Nr 92476,Frankrike,750 ml,"11,5 % vol.",270:-
Ministry of Clouds,Nr 94218,Australien,750 ml,"13,3 % vol.",295:-
Ver Sacrum,Nr 94016,Argentina,750 ml,13 % vol.,299:-
Domaine des Lises,Nr 90121,Frankrike,750 ml,13 % vol.,299:-
Gigondas,Nr 93077,Frankrike,750 ml,15 % vol.,289:-
Savage Red,Nr 94312,Sydafrika,750 ml,"13,5 % vol.",299:-
Ministry of Clouds,Nr 94196,Australien,750 ml,"13,3 % vol.",295:-
Château Tour Sieujean,Nr 5697,Frankrike,750 ml,"13,5 % vol.",299:-
Concreto,Nr 92495,Argentina,750 ml,14 % vol.,276:-
Marina,Nr 93993,USA,750 ml,14 % vol.,289:-
Rául Pérez,Nr 95272,Spanien,750 ml,"13,5 % vol.",281:-
Cid,Nr 39199,Sverige,500 ml,"12,5 % vol.",284:-
Follow The Line,Nr 94310,Sydafrika,750 ml,13 % vol.,299:-
Casa Bauzá Valiente,Nr 91300,Chile,750 ml,14 % vol.,270:-
El Canchorral,Nr 94012,Spanien,750 ml,"13,5 % vol.",299:-
Masi Campofiorin,Nr 5123,Italien,1 500 ml,13 % vol.,299:-
Confidences de Prieuré-Lichine,Nr 95993,Frankrike,750 ml,"13,5 % vol.",297:-
Swick,Nr 92083,USA,750 ml,"13,5 % vol.",291:-
Raúl Pérez,Nr 95270,Spanien,750 ml,"13,5 % vol.",281:-
Smith & Sheth,Nr 94387,Nya Zeeland,750 ml,"13,5 % vol.",279:-
Albamar,Nr 94316,Spanien,750 ml,11 % vol.,289:-
Grasso Gavarini,Nr 94287,Italien,750 ml,"14,5 % vol.",279:-
Podere Le Caggiole,Nr 91269,Italien,750 ml,"14,5 % vol.",277:-
Carril del Rey,Nr 95178,Spanien,750 ml,"13,5 % vol.",297:-
