name,art_nr,country,volume,alc_vol,price
Tignanello,Nr 32152,Italien,750 ml,14 % vol.,1 299:-
Chateau Musar,Nr 89049,Libanon,1 500 ml,14 % vol.,1 299:-
Paul Jaboulet,Nr 92157,Frankrike,750 ml,15 % vol.,1 854:-
Clos de Vougeot Grand Cru,Nr 92475,Frankrike,750 ml,"13,5 % vol.",2 257:-
Artadi,Nr 92967,Spanien,750 ml,"14,5 % vol.",2 599:-
Château Canon-la-Gaffelière,Nr 90054,Frankrike,750 ml,"14,5 % vol.",1 699:-
Chapelle-Chambertin Grand Cru,Nr 92172,Frankrike,750 ml,13 % vol.,4 999:-
Chambertin Grand Cru,Nr 92178,Frankrike,750 ml,13 % vol.,6 999:-
Le Pavillon,Nr 91164,Frankrike,750 ml,"14,5 % vol.",2 599:-
Artadi,Nr 93227,Spanien,750 ml,"14,5 % vol.",1 799:-
Dominio del Aguila,Nr 94059,Spanien,750 ml,"14,5 % vol.",2 502:-
Dominio del Aguila,Nr 92632,Spanien,750 ml,"14,5 % vol.",2 499:-
Château du Beaucastel,Nr 92595,Frankrike,750 ml,14 % vol.,1 050:-
Cavallotto,Nr 92705,Italien,1 500 ml,14 % vol.,1 779:-
Gaja,Nr 93067,Italien,750 ml,14 % vol.,1 767:-
Barolo Cannubi,Nr 94036,Italien,750 ml,"14,5 % vol.",1 249:-
Inglenook,Nr 13034,USA,750 ml,14 % vol.,2 207:-
Gallica Cabernet Sauvignon,Nr 94603,USA,750 ml,14 % vol.,1 699:-
Andremily,Nr 90449,USA,750 ml,"15,5 % vol.",1 499:-
Penfolds,Nr 93220,Australien,750 ml,"14,5 % vol.",3 799:-
Clos Erasmus,Nr 94551,Spanien,750 ml,"15,5 % vol.",1 795:-
Continuum,Nr 92050,USA,750 ml,15 % vol.,2 399:-
Les Forts de Latour,Nr 92977,Frankrike,750 ml,"13,5 % vol.",2 895:-
Château Ducru-Beaucaillou,Nr 91278,Frankrike,750 ml,"13,5 % vol.",2 589:-
Penfolds,Nr 94934,Australien,750 ml,"14,5 % vol.",1 095:-
Darioush,Nr 95194,USA,750 ml,"15,5 % vol.",1 047:-
