name,art_nr,country,volume,alc_vol,price
McManis,Nr 20070,USA,750 ml,14 % vol.,119:-
Corazón Verde,Nr 20074,Spanien,750 ml,13 % vol.,100:-*
Glou-Glou Corbières,Nr 3072,Frankrike,750 ml,"14,5 % vol.",109:-*
Monterustico,Nr 20076,Italien,750 ml,"14,5 % vol.",129:-
Maze,Nr 2328,Australien,750 ml,"14,5 % vol.",119:-
País Viejo,Nr 3024,Chile,750 ml,12 % vol.,139:-
Parajes del Valle,Nr 2532,Spanien,750 ml,13 % vol.,105:-
Xavier Vignon Côtes-du-Rhône,Nr 2151,Frankrike,750 ml,"14,5 % vol.",125:-
Casa Marrone,Nr 73570,Italien,750 ml,"14,5 % vol.",109:-
Boira',Nr 32431,Italien,750 ml,13 % vol.,105:-
Lat 42,Nr 2043,Spanien,750 ml,"14,5 % vol.",119:-
Finca Negra,Nr 2704,Chile,750 ml,14 % vol.,119:-
Baron de Ley,Nr 2525,Spanien,750 ml,"13,5 % vol.",125:-
GW :s Röda,Nr 72139,Portugal,750 ml,"13,5 % vol.",115:-
Bourgogne Rouge,Nr 5475,Frankrike,750 ml,"12,5 % vol.",139:-
Dandelion Vineyards,Nr 2129,Australien,750 ml,"14,5 % vol.",129:-
Tommasi Graticcio Appassionato,Nr 5354,Italien,750 ml,"12,5 % vol.",115:-
Amicale,Nr 74756,Italien,750 ml,14 % vol.,109:-
Apothic Red,Nr 6420,USA,750 ml,"13,5 % vol.",119:-
Capitel de'Roari,Nr 12366,Italien,375 ml,15 % vol.,119:-
Viva Valentina,Nr 72945,Italien,750 ml,14 % vol.,115:-
McManis,Nr 6520,USA,750 ml,"13,5 % vol.",125:-
Passicone,Nr 70971,Italien,1 000 ml,"13,5 % vol.",104:-
Piemonte,Nr 72782,Italien,750 ml,"13,5 % vol.",129:-
Casteloro,Nr 73498,Italien,750 ml,13 % vol.,109:-
Campolieti,Nr 6792,Italien,750 ml,"13,5 % vol.",125:-
Coste di moro,Nr 78230,Italien,750 ml,14 % vol.,129:-
Les Sorts,Nr 70217,Spanien,750 ml,14 % vol.,125:-
Fontanafredda Ebbio,Nr 22300,Italien,750 ml,"13,5 % vol.",139:-
Ribera 1 One,Nr 3027,Spanien,750 ml,"14,5 % vol.",129:-
Colle Reale,Nr 20061,Italien,750 ml,"13,5 % vol.",119:-*
Cantina Zaccagnini,Nr 2390,Italien,750 ml,13 % vol.,119:-
Casa Marrone,Nr 76686,Italien,750 ml,"14,5 % vol.",139:-
Fortellino,Nr 76845,Italien,750 ml,14 % vol.,109:-
Château de Seguin,Nr 3958,Frankrike,750 ml,"12,5 % vol.",119:-
Meinklang,Nr 75093,Österrike,750 ml,12 % vol.,139:-
Coto de Imaz,Nr 2659,Spanien,750 ml,14 % vol.,119:-
Barbera d'Alba,Nr 75722,Italien,750 ml,14 % vol.,119:-
Réserve de Bonpas,Nr 2016,Frankrike,750 ml,"13,5 % vol.",109:-
Brachetto d´Acqui,Nr 6260,Italien,375 ml,"5,5 % vol.",119:-
Valpolicella Ripasso,Nr 71805,Italien,750 ml,"13,5 % vol.",119:-
Myth,Nr 57905,Italien,750 ml,14 % vol.,119:-
Mont-Redon,Nr 5461,Frankrike,750 ml,14 % vol.,129:-
Gemtree,Nr 20033,Australien,750 ml,"14,5 % vol.",119:-
Casalforte,Nr 5352,Italien,750 ml,"13,5 % vol.",119:-
Rendola,Nr 2817,Italien,750 ml,"13,5 % vol.",119:-*
Zingled out,Nr 78822,Italien,1 000 ml,14 % vol.,104:-
Gardo & Morris,Nr 6292,Nya Zeeland,750 ml,13 % vol.,126:-
Alain Jaume,Nr 72034,Frankrike,750 ml,"14,5 % vol.",129:-
La Dame Bleue,Nr 2509,Frankrike,750 ml,13 % vol.,119:-*
Rubesco,Nr 2942,Italien,750 ml,14 % vol.,119:-
Beronia,Nr 12126,Spanien,750 ml,"13,5 % vol.",109:-
Rossetto,Nr 52856,Italien,750 ml,14 % vol.,119:-
Sister's Run Old Testament Coonawarra,Nr 2971,Australien,750 ml,14 % vol.,109:-
Casteloro,Nr 52568,Italien,750 ml,"13,5 % vol.",139:-
Gran Reserva,Nr 2776,Spanien,750 ml,"13,5 % vol.",129:-
Nerello Mascalese,Nr 2094,Italien,750 ml,13 % vol.,129:-*
Château Bois-Cardon,Nr 2823,Frankrike,750 ml,13 % vol.,109:-*
Beaujolais Royal,Nr 5408,Frankrike,750 ml,13 % vol.,109:-
Castelmondo,Nr 73186,Italien,750 ml,"13,5 % vol.",109:-
Lynx,Nr 72387,USA,750 ml,"13,5 % vol.",129:-
Dominio Alto,Nr 72143,Spanien,750 ml,"13,5 % vol.",119:-
Ruby Zin,Nr 76680,USA,750 ml,"12,5 % vol.",109:-
Florbela Reserva,Nr 1137,Portugal,750 ml,13 % vol.,119:-
Briccotondo,Nr 2773,Italien,750 ml,"13,5 % vol.",109:-
Bolla Le Poiane,Nr 22320,Italien,750 ml,14 % vol.,139:-
Castelmare,Nr 75630,Italien,750 ml,"13,5 % vol.",109:-
Bevanti,Nr 70769,Italien,750 ml,"13,5 % vol.",109:-
Bikandi,Nr 2794,Spanien,750 ml,"13,5 % vol.",109:-
Saint Auriol Chatelaine,Nr 4500,Frankrike,750 ml,14 % vol.,129:-
Antiche Terre Venete,Nr 74345,Italien,750 ml,"13,5 % vol.",119:-
Casa Relvas,Nr 2809,Portugal,750 ml,14 % vol.,119:-
X Marks the Spot,Nr 2432,Australien,750 ml,13 % vol.,119:-*
Grand Chêne,Nr 92089,Frankrike,750 ml,15 % vol.,109:-
Castelgufo,Nr 72389,Italien,750 ml,13 % vol.,115:-
Dark Horse,Nr 4645,USA,750 ml,"14,5 % vol.",109:-
Gassier,Nr 94566,Frankrike,750 ml,15 % vol.,139:-
Zestos,Nr 95083,Spanien,750 ml,"14,5 % vol.",129:-
It's a Zin!,Nr 74972,Italien,750 ml,14 % vol.,129:-
Cline Old Vine Zinfandel,Nr 2465,USA,750 ml,"14,5 % vol.",119:-*
Delas Saint-Esprit,Nr 71832,Frankrike,750 ml,14 % vol.,129:-
Maison Robert Olivier,Nr 70268,Frankrike,750 ml,14 % vol.,139:-
Chinon,Nr 71529,Frankrike,750 ml,"12,5 % vol.",139:-
Campo Viejo,Nr 6083,Spanien,750 ml,14 % vol.,119:-
Kleine Zalze,Nr 2269,Sydafrika,750 ml,15 % vol.,119:-
Viña Solorca,Nr 2104,Spanien,750 ml,15 % vol.,129:-
Villarini,Nr 75285,Italien,750 ml,13 % vol.,109:-
Beaujolais Villages,Nr 2317,Frankrike,750 ml,"12,5 % vol.",139:-
CARM,Nr 2347,Portugal,750 ml,"13,5 % vol.",103:-
Mural,Nr 94140,Portugal,750 ml,13 % vol.,125:-
Chinon,Nr 2759,Frankrike,750 ml,"12,5 % vol.",119:-
Crudo,Nr 20048,Italien,750 ml,"12,5 % vol.",129:-*
Château Juvenal,Nr 2472,Frankrike,750 ml,15 % vol.,100:-*
The Dalmatian Dog,Nr 2097,Kroatien,750 ml,"13,5 % vol.",129:-
Zolo Winemakers Blend,Nr 1056,Argentina,750 ml,14 % vol.,119:-
Gnarly Head,Nr 6597,USA,750 ml,"14,5 % vol.",119:-
Masi Bonacosta,Nr 6998,Italien,750 ml,12 % vol.,119:-
Garzón,Nr 6455,Uruguay,750 ml,13 % vol.,119:-
Rooted,Nr 93169,Sydafrika,750 ml,14 % vol.,119:-
Gran Passione,Nr 3930,Italien,750 ml,"14,5 % vol.",109:-
Allesverloren,Nr 29002,Sydafrika,750 ml,"14,5 % vol.",119:-
Gabriel Meffre,Nr 70526,Frankrike,750 ml,"14,5 % vol.",115:-
Château Pineraie,Nr 2852,Frankrike,750 ml,14 % vol.,139:-
Doña Dominga,Nr 2456,Chile,750 ml,"14,5 % vol.",119:-
Storia di Famiglia,Nr 73273,Italien,750 ml,"13,5 % vol.",129:-
Langhe Nebbiolo,Nr 2368,Italien,375 ml,14 % vol.,119:-
Langhe Nebbiolo,Nr 77488,Italien,750 ml,14 % vol.,139:-
Fairview Broken Barrel,Nr 1138,Sydafrika,750 ml,15 % vol.,119:-
Mas Louise,Nr 6470,Frankrike,750 ml,14 % vol.,119:-
Mas Janeil,Nr 79687,Frankrike,750 ml,13 % vol.,119:-
