name,art_nr,country,volume,alc_vol,price
Château Dereszla,Nr 2901,Ungern,500 ml,11 % vol.,219:-
Sancerre,Nr 5338,Frankrike,750 ml,"12,5 % vol.",219:-
Couvent des Jacobins,Nr 5798,Frankrike,750 ml,13 % vol.,219:-
Sancerre,Nr 32253,Frankrike,750 ml,"13,5 % vol.",219:-
Château Bastor-Lamontagne,Nr 4684,Frankrike,375 ml,"13,5 % vol.",229:-
Albamar,Nr 90133,Spanien,750 ml,"12,5 % vol.",219:-
Chablis Vieilles Vignes Sainte Claire,Nr 5595,Frankrike,750 ml,"12,5 % vol.",229:-
Sybille Kuntz,Nr 95025,Tyskland,750 ml,12 % vol.,219:-
Sumaridge,Nr 96026,Sydafrika,750 ml,"13,5 % vol.",219:-
Jamek Ried Frauengarten,Nr 96048,Österrike,750 ml,"12,5 % vol.",219:-
Juliusspital,Nr 90358,Tyskland,750 ml,"12,5 % vol.",209:-
Black Stallion Napa Valley,Nr 75360,USA,750 ml,"14,5 % vol.",239:-
Sancerre,Nr 2245,Frankrike,750 ml,"14,5 % vol.",219:-
Venture,Nr 13082,Sverige,750 ml,"12,5 % vol.",239:-
Omaggio Pet Nat,Nr 95672,Argentina,750 ml,"12,5 % vol.",219:-
Château de Vimont,Nr 4128,Frankrike,750 ml,14 % vol.,219:-
Vitalba,Nr 93033,Italien,750 ml,"14,5 % vol.",219:-
Pfitscher,Nr 92404,Italien,750 ml,13 % vol.,219:-
Naranjo,Nr 92100,Chile,750 ml,12 % vol.,226:-
Thistle & Weed,Nr 92269,Sydafrika,750 ml,"13,5 % vol.",219:-
Bisci,Nr 92588,Italien,750 ml,14 % vol.,215:-
Fitapreta,Nr 94009,Portugal,750 ml,"12,5 % vol.",239:-
Rabl,Nr 92092,Österrike,750 ml,14 % vol.,219:-
Fournier Pouilly-Fumé,Nr 2227,Frankrike,750 ml,13 % vol.,229:-
Weingut Brutler,Nr 92288,Rumänien,750 ml,12 % vol.,219:-
Schubert,Nr 94013,Nya Zeeland,750 ml,13 % vol.,239:-
Von Winning,Nr 93685,Tyskland,750 ml,12 % vol.,219:-
Movia,Nr 90353,Slovenien,750 ml,13 % vol.,239:-
Chignin Les 1er Récoltants,Nr 90311,Frankrike,750 ml,"11,5 % vol.",229:-
Clos Floridène,Nr 91151,Frankrike,750 ml,"12,5 % vol.",217:-
Chablis,Nr 5564,Frankrike,750 ml,"12,5 % vol.",229:-
Mukado,Nr 92506,Georgien,750 ml,"12,5 % vol.",219:-
Domaine Face B,Nr 90142,Frankrike,750 ml,11 % vol.,229:-
Altolandon,Nr 93731,Spanien,750 ml,"14,5 % vol.",229:-
Bernkasteler Badstube Spätlese,Nr 95149,Tyskland,750 ml,"10,5 % vol.",218:-
Wine Mechanics,Nr 33243,EU,750 ml,12 % vol.,239:-
Kracher,Nr 92725,Österrike,375 ml,"11,5 % vol.",229:-
Yarden,Nr 2517,Golanhöjderna (israelisk bosättning),750 ml,14 % vol.,209:-
Les Fumées Blanches,Nr 22139,Frankrike,1 500 ml,"11,5 % vol.",229:-
Pieces de Moulins,Nr 92712,Frankrike,750 ml,12 % vol.,229:-
Barco del Corneta,Nr 94557,Spanien,750 ml,"13,5 % vol.",228:-
Château de Rochemorin,Nr 91123,Frankrike,750 ml,"13,5 % vol.",229:-
Tutto Anfora Bianco,Nr 91215,Italien,750 ml,12 % vol.,217:-
Keller,Nr 94194,Tyskland,750 ml,"12,5 % vol.",228:-
Edad Moderna,Nr 92420,Argentina,750 ml,"11,5 % vol.",209:-
Weingut Karl May,Nr 94615,Tyskland,750 ml,"12,5 % vol.",239:-
Alpamanta Breva,Nr 90578,Argentina,750 ml,13 % vol.,239:-
Molino del Ciego,Nr 92455,Chile,750 ml,13 % vol.,229:-
Tesch,Nr 91288,Tyskland,750 ml,"12,5 % vol.",239:-
21 Gables,Nr 92293,Sydafrika,750 ml,"14,5 % vol.",229:-
San Vito,Nr 92429,Italien,750 ml,"15,5 % vol.",229:-
Gutevin,Nr 39389,Sverige,750 ml,12 % vol.,239:-
Lyckeri,Nr 39608,Sverige,750 ml,11 % vol.,239:-
Marko,Nr 91328,Spanien,750 ml,"13,5 % vol.",215:-
Wohlmuth Ried Steinriegl,Nr 92380,Österrike,750 ml,13 % vol.,227:-
Paraje de Riofrío Alto,Nr 94790,Spanien,750 ml,"13,5 % vol.",238:-
Sandhammarens,Nr 33791,Sverige,750 ml,"12,5 % vol.",216:-
Fritz Haag Brauneberger Juffer,Nr 90112,Tyskland,750 ml,"7,5 % vol.",229:-
Hermann J. Wiemer Vineyard,Nr 92554,USA,750 ml,"12,5 % vol.",236:-
Vistakulle,Nr 38150,Sverige,750 ml,12 % vol.,221:-
Vistakulle,Nr 38150,Sverige,750 ml,12 % vol.,221:-
PAI,Nr 95299,Spanien,750 ml,"12,5 % vol.",221:-
1583 Albariño de Fefiñanes,Nr 90103,Spanien,750 ml,"12,5 % vol.",228:-
Dopff Schoenenborg Grand Cru,Nr 6484,Frankrike,750 ml,"13,5 % vol.",239:-
Gutevin,Nr 37891,Sverige,750 ml,12 % vol.,218:-
Weisser Burgunder,Nr 94712,Tyskland,750 ml,13 % vol.,227:-
Château Fuissé,Nr 93412,Frankrike,750 ml,13 % vol.,238:-
Piesporter Goldtröpfchen,Nr 94602,Tyskland,750 ml,"7,5 % vol.",230:-
Fritz Haag,Nr 92177,Tyskland,750 ml,8 % vol.,218:-
Vulkangestein Riesling Trocken,Nr 94650,Tyskland,750 ml,"12,5 % vol.",239:-
Gomariz X,Nr 95253,Spanien,750 ml,"13,5 % vol.",208:-
Ädelvän,Nr 37569,Sverige,500 ml,"9,5 % vol.",237:-
El Paraguas Atlántico,Nr 93836,Spanien,750 ml,13 % vol.,228:-
Pike & Joyce,Nr 90274,Australien,750 ml,13 % vol.,228:-
Mâcon-Milly-Lamartine Clos du Four,Nr 95317,Frankrike,750 ml,"13,5 % vol.",237:-
Domaine Langlois-Chateau,Nr 92441,Frankrike,750 ml,14 % vol.,228:-
Bourgogne,Nr 93311,Frankrike,750 ml,12 % vol.,239:-
Domäne Wachau,Nr 6021,Österrike,750 ml,"13,5 % vol.",219:-
Saint-Véran,Nr 5222,Frankrike,750 ml,13 % vol.,209:-
Sancerre,Nr 12173,Frankrike,750 ml,"12,5 % vol.",219:-
Domaine du Mont Épin,Nr 74126,Frankrike,750 ml,13 % vol.,209:-
Krug'scher Hof,Nr 55274,Tyskland,750 ml,"12,5 % vol.",219:-
Bichot,Nr 76491,Frankrike,750 ml,13 % vol.,219:-
Musella,Nr 73131,Italien,750 ml,"13,5 % vol.",239:-
Oveja Naranja,Nr 71016,Spanien,750 ml,12 % vol.,219:-
Les Sablonnettes,Nr 51345,Frankrike,750 ml,"13,5 % vol.",210:-
Wittmann,Nr 75059,Tyskland,750 ml,12 % vol.,204:-
Domaine Bott-Geyl,Nr 72993,Frankrike,750 ml,"12,5 % vol.",228:-
Gustave Lorentz,Nr 75756,Frankrike,750 ml,"13,5 % vol.",209:-
Gustave Lorentz,Nr 74073,Frankrike,750 ml,14 % vol.,229:-
Grillo,Nr 59390,Italien,750 ml,"12,5 % vol.",223:-
Catarratto,Nr 59391,Italien,750 ml,"12,5 % vol.",223:-
Mas Amiel,Nr 57178,Frankrike,750 ml,13 % vol.,235:-
Gönnheimer,Nr 54062,Tyskland,750 ml,"12,5 % vol.",203:-
Pflüger,Nr 52853,Tyskland,750 ml,"12,5 % vol.",229:-
Motor Blanc,Nr 58784,Spanien,750 ml,"10,5 % vol.",229:-
Nostos,Nr 76749,Grekland,750 ml,"13,5 % vol.",219:-
Loimer,Nr 59720,Österrike,750 ml,12 % vol.,219:-
Malvirà,Nr 59792,Italien,750 ml,13 % vol.,220:-
Nina,Nr 59839,Italien,750 ml,11 % vol.,206:-
Zan,Nr 58238,Slovenien,750 ml,11 % vol.,206:-
Geyerhof,Nr 58367,Österrike,750 ml,"12,5 % vol.",229:-
Geyerhof,Nr 58388,Österrike,750 ml,"12,5 % vol.",209:-
Sattlerhof,Nr 57776,Österrike,750 ml,"12,5 % vol.",229:-
Karl Schaefer,Nr 71619,Tyskland,750 ml,"12,5 % vol.",228:-
Karl Schaefer,Nr 77494,Tyskland,750 ml,"12,5 % vol.",228:-
Muré,Nr 74919,Frankrike,750 ml,"13,5 % vol.",219:-
Le Tende,Nr 73691,Italien,750 ml,"12,5 % vol.",233:-
Loimer,Nr 78061,Österrike,750 ml,12 % vol.,219:-
Wieninger,Nr 73731,Österrike,750 ml,"13,5 % vol.",229:-
Fiorile,Nr 78772,Italien,750 ml,"13,5 % vol.",227:-
Lebenshilfe,Nr 74550,Tyskland,750 ml,"12,5 % vol.",208:-
Bosio Passato,Nr 85027,Italien,750 ml,"14,5 % vol.",229:-
Casa Amytis,Nr 55523,Spanien,750 ml,"13,5 % vol.",216:-
Braunstein,Nr 51608,Österrike,750 ml,13 % vol.,228:-
Ginesta,Nr 56766,Spanien,750 ml,"12,5 % vol.",239:-
Leth,Nr 83778,Österrike,750 ml,13 % vol.,219:-
Ott Am Berg,Nr 88232,Österrike,750 ml,12 % vol.,229:-
Gini,Nr 75000,Italien,750 ml,12 % vol.,219:-
Braunstein,Nr 53558,Österrike,750 ml,13 % vol.,228:-
Weingut Julius,Nr 53745,Tyskland,750 ml,12 % vol.,231:-
Bosio Passato,Nr 53224,Italien,750 ml,"13,5 % vol.",229:-
Weszeli,Nr 70525,Österrike,750 ml,"12,5 % vol.",219:-
Nostos,Nr 73655,Grekland,750 ml,14 % vol.,219:-
Margalh,Nr 72415,Frankrike,750 ml,"12,5 % vol.",201:-
Pierres Sauvages,Nr 70926,Frankrike,750 ml,"13,5 % vol.",229:-
Wachenheimer Riesling,Nr 81912,Tyskland,750 ml,12 % vol.,219:-
Vignelaure,Nr 79993,Frankrike,750 ml,"13,5 % vol.",229:-
Domaine Biblia Chora,Nr 82584,Grekland,750 ml,"13,5 % vol.",210:-
Pieropan,Nr 75741,Italien,750 ml,12 % vol.,229:-
Domaine Saint-Rémy,Nr 78383,Frankrike,750 ml,"12,5 % vol.",209:-
Domaine Saint-Rémy,Nr 78605,Frankrike,750 ml,14 % vol.,215:-
Colombette Blanc,Nr 78798,Frankrike,750 ml,"11,5 % vol.",237:-
Neumeister,Nr 78542,Österrike,750 ml,12 % vol.,229:-
Riesling Organic,Nr 70632,Frankrike,750 ml,"12,5 % vol.",224:-
Paul Jaboulet,Nr 2819,Frankrike,750 ml,"12,5 % vol.",229:-
Gustave Lorentz,Nr 75756,Frankrike,750 ml,"13,5 % vol.",209:-
Gustave Lorentz,Nr 74073,Frankrike,750 ml,14 % vol.,229:-
Domaine Bott-Geyl,Nr 72993,Frankrike,750 ml,"12,5 % vol.",228:-
François de Nicolay,Nr 58799,Frankrike,750 ml,14 % vol.,239:-
Anima,Nr 2049,Sydafrika,750 ml,"13,5 % vol.",229:-
Pistillo,Nr 71289,Italien,750 ml,14 % vol.,239:-
Vernaccia di San Gimignano,Nr 78059,Italien,750 ml,"13,5 % vol.",219:-
Métairie d’Alon,Nr 74589,Frankrike,750 ml,"13,5 % vol.",209:-
Pinot Gris Organic,Nr 75725,Frankrike,750 ml,14 % vol.,234:-
Kenwood Six Ridges,Nr 5715,USA,750 ml,"13,5 % vol.",219:-
Gewürztraminer Pietramontis,Nr 70139,Italien,750 ml,14 % vol.,210:-
Craven,Nr 93706,Sydafrika,750 ml,"11,5 % vol.",219:-
Vietti Roero Arneis,Nr 78971,Italien,750 ml,14 % vol.,239:-
Timorasso Colli Tortonesi Derthona,Nr 54080,Italien,750 ml,14 % vol.,239:-
Mandrarossa,Nr 73641,Italien,750 ml,13 % vol.,209:-
Fritz Haag,Nr 51555,Tyskland,750 ml,"11,5 % vol.",229:-
Chateau de Thauvenay,Nr 71797,Frankrike,750 ml,"12,5 % vol.",239:-
Piu Piu,Nr 70668,Tyskland,750 ml,11 % vol.,209:-
Les Ruisseaux,Nr 53373,Frankrike,750 ml,"14,5 % vol.",229:-
Caravaglio Infatata,Nr 53396,Italien,750 ml,"12,5 % vol.",225:-
Small Wonder Chardonnay,Nr 90525,Australien,750 ml,"12,7 % vol.",229:-
Greda,Nr 54739,Bosnien-Hercegovina,750 ml,12 % vol.,210:-
Skouras Assyrtiko,Nr 58847,Grekland,750 ml,"13,5 % vol.",239:-
Timorasso Colli Tortonesi Derthona,Nr 54080,Italien,750 ml,14 % vol.,239:-
Ried Bernthal,Nr 57471,Österrike,750 ml,14 % vol.,226:-
Springfield Estate,Nr 81775,Sydafrika,750 ml,"12,5 % vol.",219:-
Chocapalha,Nr 93585,Portugal,750 ml,12 % vol.,229:-
Aldinger x Porsche,Nr 56957,Tyskland,750 ml,"12,5 % vol.",239:-
Musar Jeune,Nr 75906,Libanon,750 ml,13 % vol.,229:-
Godello,Nr 72451,Spanien,750 ml,13 % vol.,219:-
Jakob Jung,Nr 74515,Tyskland,750 ml,"12,5 % vol.",209:-
Bogle,Nr 73945,USA,750 ml,"14,5 % vol.",229:-
La Dame,Nr 79699,Frankrike,750 ml,15 % vol.,216:-
Philipp Kuhn,Nr 71597,Tyskland,750 ml,"12,5 % vol.",229:-
Bodegas Finca La Capilla,Nr 57901,Spanien,750 ml,14 % vol.,210:-
Würzburger,Nr 71413,Tyskland,750 ml,"11,5 % vol.",224:-
Muros de Melgaço,Nr 70333,Portugal,750 ml,"12,5 % vol.",219:-
Ponzi,Nr 74876,USA,750 ml,13 % vol.,229:-
Chablis,Nr 70315,Frankrike,750 ml,12 % vol.,239:-
Roccolo Grassi,Nr 76252,Italien,750 ml,"12,5 % vol.",210:-
Chablis,Nr 74051,Frankrike,750 ml,13 % vol.,225:-
Gruss,Nr 79316,Frankrike,750 ml,"13,5 % vol.",239:-
August Kesseler,Nr 74273,Tyskland,750 ml,12 % vol.,239:-
La Valentina,Nr 78262,Italien,750 ml,"13,5 % vol.",213:-
Descombe Petit Chablis,Nr 54413,Frankrike,750 ml,"12,5 % vol.",209:-
Descombe Chab Les Oiseaux,Nr 53958,Frankrike,750 ml,"12,5 % vol.",235:-
