name,art_nr,country,volume,alc_vol,price
Bio Riesling,Nr 7519,Tyskland,750 ml,12 % vol.,99:-
Codorníu Ecológica,Nr 7927,Spanien,375 ml,"11,5 % vol.",59:-
El Mar,Nr 77410,Spanien,750 ml,"11,5 % vol.",89:-
Julià & Navinès Cava Organic,Nr 7613,Spanien,750 ml,"11,5 % vol.",97:-
Prosecco,Nr 7870,Italien,200 ml,11 % vol.,49:-
Prosecco,Nr 7870,Italien,750 ml,11 % vol.,97:-
Mionetto,Nr 7749,Italien,750 ml,11 % vol.,99:-
Pizzolato Spumante d'Italia Bianco,Nr 77185,Italien,750 ml,11 % vol.,79:-
Charles de Fère,Nr 7425,Frankrike,750 ml,"11,5 % vol.",85:-
Asti Cinzano,Nr 7711,Italien,750 ml,7 % vol.,105:-
Asti Cinzano,Nr 7711,Italien,375 ml,7 % vol.,69:-
Louis Bouillot,Nr 7688,Frankrike,750 ml,12 % vol.,149:-
Louis Bouillot,Nr 7781,Frankrike,750 ml,12 % vol.,149:-
Casalforte,Nr 7720,Italien,375 ml,11 % vol.,65:-
Campo Viejo,Nr 7782,Spanien,750 ml,"11,5 % vol.",95:-
Baglietti,Nr 74590,Italien,750 ml,11 % vol.,109:-
Casteloro,Nr 79377,Italien,750 ml,"11,5 % vol.",99:-
KWV,Nr 71610,Sydafrika,750 ml,7 % vol.,79:-
Hola MZ Cava,Nr 50260,Spanien,750 ml,"11,5 % vol.",109:-
Pizzolato Spumante d'Italia,Nr 7742,Italien,750 ml,11 % vol.,89:-
Casteloro,Nr 79342,Italien,750 ml,11 % vol.,95:-
Alvaroni Cava,Nr 77104,Spanien,750 ml,"11,5 % vol.",89:-
Tr3 Apor,Nr 77107,EU,750 ml,"8,5 % vol.",79:-
Cava Pinot Noir Rosé Organic,Nr 2216,Spanien,375 ml,"11,5 % vol.",84:-
P.Lex,Nr 77889,Italien,750 ml,11 % vol.,119:-
Casalforte,Nr 7720,Italien,750 ml,11 % vol.,99:-
Clotilde Davenne,Nr 7725,Frankrike,750 ml,12 % vol.,169:-
Perfect day,Nr 72809,Italien,750 ml,11 % vol.,99:-
Charles de Fère,Nr 7425,Frankrike,200 ml,"11,5 % vol.",42:-
Mia,Nr 7897,Spanien,750 ml,7 % vol.,82:-
Hola MZ Cava Rosé,Nr 55315,Spanien,750 ml,"11,5 % vol.",99:-
Beaumont de Crayères,Nr 7891,Frankrike,375 ml,12 % vol.,189:-
Moët & Chandon,Nr 7518,Frankrike,200 ml,12 % vol.,169:-
Privat,Nr 7904,Spanien,750 ml,"11,5 % vol.",129:-
JP Chenet,Nr 76060,Frankrike,750 ml,11 % vol.,89:-
Dopff Brut Cuvée Julien,Nr 7410,Frankrike,375 ml,12 % vol.,89:-
Gancia Prosecco,Nr 7879,Italien,375 ml,"11,5 % vol.",69:-
