name,art_nr,country,volume,alc_vol,price
Couvent des Jacobins,Nr 5283,Frankrike,750 ml,13 % vol.,229:-
Enzo Bartoli,Nr 72399,Italien,750 ml,"13,5 % vol.",229:-
Amarone A,Nr 12343,Italien,750 ml,15 % vol.,229:-
Lat 42,Nr 12679,Spanien,750 ml,"14,5 % vol.",239:-
Capitel de'Roari,Nr 12366,Italien,750 ml,15 % vol.,215:-
Baron de Ley,Nr 2768,Spanien,750 ml,14 % vol.,215:-
Barolo,Nr 76560,Italien,750 ml,"14,5 % vol.",219:-
Casalforte,Nr 5352,Italien,1 500 ml,"13,5 % vol.",239:-
Marquis de Beys Red,Nr 22325,Libanon,750 ml,14 % vol.,219:-
Lunadoro,Nr 78484,Italien,750 ml,14 % vol.,219:-
Bonterra Estate Collection,Nr 6526,USA,750 ml,"14,5 % vol.",239:-
A Lisa,Nr 95527,Argentina,750 ml,14 % vol.,219:-
Zenato,Nr 12324,Italien,750 ml,14 % vol.,239:-
Casanuova di Nittardi,Nr 93692,Italien,750 ml,14 % vol.,219:-
L'Authentique,Nr 95350,Frankrike,750 ml,14 % vol.,219:-
Barolo Fontanafredda,Nr 70227,Italien,750 ml,"13,5 % vol.",219:-
'a Rina,Nr 92456,Italien,750 ml,14 % vol.,229:-
Sela,Nr 95063,Spanien,750 ml,14 % vol.,229:-
Lalama,Nr 95221,Spanien,750 ml,"13,5 % vol.",225:-
Château de Seguin,Nr 3958,Frankrike,1 500 ml,"13,5 % vol.",229:-
Rully,Nr 2821,Frankrike,750 ml,13 % vol.,219:-
Robert Hall,Nr 95150,Lodi,750 ml,"14,5 % vol.",219:-
Moulin-à-Vent,Nr 90481,Frankrike,750 ml,"13,5 % vol.",219:-
Barbera d'Alba,Nr 23071,Italien,750 ml,"14,5 % vol.",219:-
Ricossa,Nr 78143,Italien,750 ml,"13,5 % vol.",229:-
Riecine,Nr 90169,Italien,750 ml,"13,5 % vol.",239:-
Caparzo La Caduta,Nr 93284,Italien,750 ml,"14,5 % vol.",219:-
Villa Righetti,Nr 75184,Italien,750 ml,15 % vol.,229:-
Cannonau Le Anfore,Nr 92858,Italien,750 ml,14 % vol.,229:-
Kalamite,Nr 90508,Frankrike,750 ml,"12,5 % vol.",229:-
Sangiovese Le Anfore,Nr 93038,Italien,750 ml,14 % vol.,229:-
Paracombe,Nr 92434,Australien,750 ml,"13,5 % vol.",229:-
Saumur-Champigny Vieilles Vignes,Nr 92069,Frankrike,750 ml,"13,5 % vol.",219:-
Veronica Ortega,Nr 94224,Spanien,750 ml,12 % vol.,218:-
Rocamadre,Nr 94124,Argentina,750 ml,13 % vol.,219:-
Laetitia Estate,Nr 2192,USA,750 ml,14 % vol.,225:-
Domaine de la Roche Honneur,Nr 13047,Frankrike,750 ml,"12,5 % vol.",219:-
Domaine Montirius,Nr 93391,Frankrike,750 ml,"13,5 % vol.",227:-
Il Seggio,Nr 2547,Italien,750 ml,"14,5 % vol.",239:-
Crozes-Hermitage Certitude,Nr 91122,Frankrike,750 ml,13 % vol.,229:-
Château Jean Faux,Nr 93931,Frankrike,750 ml,14 % vol.,236:-
Sancerre Rouge Grains de Pinot,Nr 91340,Frankrike,750 ml,"14,5 % vol.",219:-
El Hombre Bala,Nr 90456,Spanien,750 ml,"14,5 % vol.",218:-
Penfolds Bin 8,Nr 94529,Australien,750 ml,"14,5 % vol.",229:-
Penfolds Bin 2,Nr 94535,Australien,750 ml,"14,5 % vol.",229:-
Par Les Dunes,Nr 92042,Frankrike,750 ml,"12,5 % vol.",239:-
Langhe Nebbiolo Camilu,Nr 92294,Italien,750 ml,"14,5 % vol.",235:-
Foradori,Nr 92784,Italien,750 ml,12 % vol.,229:-
Nerocapitano,Nr 93126,Italien,750 ml,13 % vol.,219:-
Tahbilk,Nr 91223,Australien,750 ml,"14,5 % vol.",229:-
Yamanashi,Nr 95707,Japan,750 ml,13 % vol.,219:-
Niepoort,Nr 92189,Portugal,750 ml,"11,5 % vol.",239:-
Val delle Corti,Nr 94217,Italien,750 ml,"13,5 % vol.",229:-
Montesecondo,Nr 94151,Italien,750 ml,13 % vol.,239:-
Op die Berg,Nr 90264,Sydafrika,750 ml,13 % vol.,219:-
Roberto Rondelli,Nr 94947,Italien,750 ml,"12,5 % vol.",228:-
Moss Wood,Nr 94242,Australien,750 ml,"13,5 % vol.",239:-
Vino Nobile di Montepulciano Maria Stella,Nr 95489,Italien,750 ml,"14,5 % vol.",215:-
Dolcetto d´Alba Priavino,Nr 93651,Italien,750 ml,"13,5 % vol.",210:-
Crozes-Hermitage,Nr 92044,Frankrike,750 ml,13 % vol.,219:-
Aldeia de Cima,Nr 92551,Portugal,750 ml,"13,5 % vol.",229:-
Côtes du Rhône Villages,Nr 92082,Frankrike,750 ml,14 % vol.,237:-
Ca’ di Pian,Nr 91176,Italien,750 ml,"14,5 % vol.",229:-
La Dula,Nr 92435,Spanien,750 ml,14 % vol.,219:-
Rupestre,Nr 90596,Italien,750 ml,"13,5 % vol.",227:-
Edad Moderna,Nr 92313,Argentina,750 ml,14 % vol.,219:-
Kelman,Nr 92002,Portugal,750 ml,"13,5 % vol.",215:-
Daniel Bouland,Nr 13049,Frankrike,750 ml,13 % vol.,219:-
Tokara,Nr 95969,Sydafrika,750 ml,14 % vol.,239:-
Château Cambon La Pelouse,Nr 93995,Frankrike,750 ml,13 % vol.,232:-
Torsebro Röda,Nr 38242,Sverige,750 ml,11 % vol.,227:-
Dominio de Anza,Nr 93652,Spanien,750 ml,"13,5 % vol.",237:-
SP68 Rosso,Nr 95559,Italien,750 ml,"12,5 % vol.",219:-
