name,art_nr,country,volume,alc_vol,price
Stellenrust,Nr 20068,Sydafrika,750 ml,14 % vol.,149:-
Christina Orange,Nr 2756,Österrike,750 ml,"11,5 % vol.",169:-
Alba Rhino,Nr 3128,Portugal,750 ml,"13,5 % vol.",159:-
Kung Fu Girl,Nr 2690,USA,750 ml,"12,5 % vol.",149:-
Patriarche Bourgogne Chardonnay,Nr 71159,Frankrike,750 ml,13 % vol.,149:-
Bonterra,Nr 16632,USA,750 ml,13 % vol.,149:-
Bread & Butter,Nr 79280,USA,750 ml,"13,5 % vol.",169:-
Dr Loosen,Nr 5364,Tyskland,187 ml,"7,5 % vol.",149:-
Georg Breuer,Nr 5899,Tyskland,750 ml,12 % vol.,149:-
Chablis,Nr 75131,Frankrike,750 ml,"12,5 % vol.",169:-
Bourgogne Cuvée Prestige,Nr 5362,Frankrike,750 ml,"12,5 % vol.",149:-
Grand Tokaj,Nr 4682,Ungern,500 ml,10 % vol.,149:-
Chablis,Nr 5637,Frankrike,750 ml,"12,5 % vol.",169:-
Montelapio Fiano di Avellino,Nr 90032,Italien,750 ml,"13,5 % vol.",160:-
Megyer,Nr 90461,Ungern,750 ml,14 % vol.,165:-
Stoneleigh Latitude,Nr 6360,Nya Zeeland,750 ml,14 % vol.,150:-
Forstreiter Ried Schiefer,Nr 3036,Österrike,750 ml,"13,5 % vol.",159:-
A Christmann,Nr 5882,Tyskland,750 ml,12 % vol.,159:-
Côtes du Rhône,Nr 71947,Frankrike,750 ml,"14,5 % vol.",145:-
Côtes du Jura,Nr 2292,Frankrike,750 ml,13 % vol.,169:-
Kloster Eberbach,Nr 6257,Tyskland,750 ml,8 % vol.,159:-
Jurtschitsch,Nr 2939,Österrike,750 ml,"12,5 % vol.",159:-
Leitz Magic Mountain,Nr 70626,Tyskland,750 ml,12 % vol.,164:-
Langmeil Three Gardens,Nr 94088,Australien,750 ml,13 % vol.,159:-
Loimer Lenz,Nr 4350,Österrike,750 ml,12 % vol.,149:-
Roaring Meg,Nr 91138,Nya Zeeland,750 ml,12 % vol.,169:-
Castelnau de Suduiraut,Nr 3690,Frankrike,375 ml,"13,5 % vol.",169:-
Jean-Claude Boisset,Nr 70131,Frankrike,750 ml,"12,5 % vol.",159:-
Clotilde Davenne,Nr 5562,Frankrike,750 ml,"12,5 % vol.",159:-
Vouvray,Nr 6288,Frankrike,750 ml,14 % vol.,149:-
Von Winning Win Win,Nr 79394,Tyskland,750 ml,12 % vol.,145:-
Egia Enea,Nr 96205,Spanien,750 ml,13 % vol.,159:-
Fontana Candida,Nr 2410,Italien,1 500 ml,"12,5 % vol.",149:-
Bourgogne Chardonnay,Nr 76083,Frankrike,750 ml,"12,5 % vol.",149:-
Jardin de Trebogad,Nr 2174,Frankrike,750 ml,"13,5 % vol.",149:-
François Martenot,Nr 76610,Frankrike,750 ml,12 % vol.,169:-
Catalina Sounds,Nr 2672,Nya Zeeland,750 ml,13 % vol.,159:-
Orballo,Nr 2696,Spanien,750 ml,"12,5 % vol.",149:-
Rkatsiteli Qvevri,Nr 2195,Georgien,750 ml,13 % vol.,148:-
Logan,Nr 94176,Australien,750 ml,"12,5 % vol.",169:-
Diora,Nr 2640,USA,750 ml,"14,5 % vol.",150:-
Escherndorfer Fürstenberg,Nr 93035,Tyskland,750 ml,"12,5 % vol.",169:-
Pouilly-Fuissé,Nr 2484,Frankrike,375 ml,13 % vol.,149:-
Niepoort,Nr 93411,Portugal,1 000 ml,11 % vol.,159:-
Dr Bürklin-Wolf,Nr 2644,Tyskland,750 ml,12 % vol.,169:-
Tamjanika Bellucci,Nr 92989,Serbien,750 ml,"12,5 % vol.",158:-
Gramp's,Nr 94017,Australien,375 ml,"10,1 % vol.",152:-
Moscato d'Asti,Nr 90166,Italien,750 ml,"5,5 % vol.",149:-
Kracher Noble Reserve,Nr 92054,Österrike,187 ml,9 % vol.,151:-
Wente,Nr 2027,USA,750 ml,"13,5 % vol.",149:-
Château de Fesles,Nr 94207,Frankrike,375 ml,"12,5 % vol.",152:-
Albariño Atlántico,Nr 90562,Uruguay,750 ml,12 % vol.,169:-
Arilds Vingård,Nr 34887,Sverige,750 ml,11 % vol.,155:-
Skepparps Grand Prix,Nr 37894,Sverige,500 ml,"11,5 % vol.",155:-
Paracombe,Nr 90366,Australien,750 ml,"12,5 % vol.",159:-
Carallán Albariño,Nr 92180,Spanien,750 ml,13 % vol.,159:-
Altos de Jose Ignacio Estate,Nr 92838,Uruguay,750 ml,"12,5 % vol.",149:-
Lodge Hill,Nr 93102,Australien,750 ml,12 % vol.,159:-
Frillestads Vingård,Nr 39388,Sverige,500 ml,"12,5 % vol.",159:-
Frillestad,Nr 39735,Sverige,500 ml,"12,5 % vol.",159:-
Quinta D'Amares,Nr 90089,Portugal,750 ml,11 % vol.,163:-
Tahbilk,Nr 91285,Australien,750 ml,"13,5 % vol.",169:-
Paul Cluver,Nr 95100,Sydafrika,750 ml,"11,5 % vol.",165:-
Perfiles Calcareo Chardonnay,Nr 95197,Argentina,750 ml,"13,5 % vol.",158:-
Frillestad,Nr 39572,Sverige,500 ml,"10,5 % vol.",159:-
Vickery,Nr 93579,Australien,750 ml,12 % vol.,149:-
Margan,Nr 93427,Australien,750 ml,12 % vol.,149:-
Symphonie de Novembre,Nr 94104,Frankrike,375 ml,"13,5 % vol.",149:-
Finca Feliz Tesoro,Nr 92759,Argentina,750 ml,"14,5 % vol.",169:-
Some Days Are Diamonds,Nr 93687,Australien,750 ml,11 % vol.,149:-
Penfolds Max's,Nr 90035,Australien,750 ml,13 % vol.,150:-
Mendel,Nr 94778,Argentina,750 ml,"13,5 % vol.",159:-
Tim Adams Semillon,Nr 95580,Australien,750 ml,12 % vol.,169:-
Frillestads Vingård,Nr 39623,Sverige,500 ml,"12,5 % vol.",159:-
Marachelle,Nr 90216,Italien,750 ml,11 % vol.,169:-
Swan Bay,Nr 10857,Australien,750 ml,13 % vol.,159:-
Ritual Chardonnay,Nr 92778,Chile,750 ml,14 % vol.,159:-
Österlenvins Vida,Nr 38009,Sverige,500 ml,"12,5 % vol.",168:-
Tahbilk,Nr 94403,Australien,750 ml,"12,5 % vol.",159:-
Riesling Vinum Optimum,Nr 95321,Österrike,750 ml,13 % vol.,159:-
Susana Balbo,Nr 92968,Argentina,750 ml,12 % vol.,164:-
Acinatium,Nr 2395,Italien,375 ml,"13,5 % vol.",149:-
Bassermann-Jordan,Nr 79332,Tyskland,750 ml,12 % vol.,169:-
Three Finger Jack,Nr 57404,USA,750 ml,"14,5 % vol.",149:-
Scheuermann,Nr 50151,Tyskland,750 ml,12 % vol.,169:-
Huber,Nr 56058,Österrike,750 ml,"12,5 % vol.",159:-
Jean Biecher Rosacker,Nr 2105,Frankrike,750 ml,"12,5 % vol.",169:-
Monólogo,Nr 51770,Portugal,750 ml,"12,5 % vol.",145:-
Filodivino,Nr 77328,Italien,750 ml,13 % vol.,159:-
Nebbia Felsinea,Nr 56834,Italien,750 ml,12 % vol.,159:-
Pflüger,Nr 53127,Tyskland,750 ml,12 % vol.,165:-
Falanghina,Nr 74254,Italien,750 ml,"12,5 % vol.",144:-
Sepp Moser,Nr 76350,Österrike,750 ml,12 % vol.,149:-
Turckheim,Nr 75127,Frankrike,750 ml,"12,5 % vol.",149:-
