name,art_nr,country,volume,alc_vol,price
Kutjevo,Nr 90269,Kroatien,750 ml,12 % vol.,119:-
La Spinetta,Nr 90076,Italien,750 ml,"12,5 % vol.",159:-
"Cerasuolo d'Abruzzo Superiore ""Le Cince""",Nr 93601,Italien,750 ml,"12,5 % vol.",247:-
Fistful of Love,Nr 39300,EU,750 ml,"10,5 % vol.",210:-
Miraval,Nr 99111,Frankrike,750 ml,13 % vol.,195:-
Longridge,Nr 94545,Sydafrika,750 ml,"13,5 % vol.",169:-
Långmyre Vineri,Nr 37491,Sverige,750 ml,"11,5 % vol.",178:-
Raúl Pérez,Nr 92901,Spanien,750 ml,"13,5 % vol.",169:-
By.Ott,Nr 90306,Frankrike,750 ml,13 % vol.,189:-
Alpamanta Breva,Nr 90476,Argentina,750 ml,13 % vol.,229:-
Château Sainte Marguerite,Nr 93704,Frankrike,750 ml,"12,5 % vol.",169:-
Ripa,Nr 94164,Spanien,750 ml,"13,5 % vol.",299:-
Château Sainte-Croix,Nr 93909,Frankrike,750 ml,13 % vol.,149:-
Le Puy,Nr 90626,Frankrike,750 ml,13 % vol.,469:-
Clos Cibonne,Nr 92519,Frankrike,750 ml,"13,5 % vol.",349:-
Viore Rosado,Nr 93015,Spanien,750 ml,14 % vol.,99:-
Klagshamn,Nr 39289,Sverige,500 ml,12 % vol.,159:-
Lacrimarosa,Nr 91248,Italien,750 ml,"12,5 % vol.",155:-
Domaene Gobelsburg,Nr 94014,Österrike,750 ml,12 % vol.,129:-
Adonis,Nr 37840,Sverige,750 ml,12 % vol.,225:-
Leitz,Nr 93001,Tyskland,750 ml,"12,5 % vol.",179:-
Sancerre,Nr 90030,Frankrike,750 ml,13 % vol.,199:-
District 7,Nr 92484,USA,750 ml,13 % vol.,139:-
Bosman,Nr 92173,Sydafrika,750 ml,"11,5 % vol.",130:-
Gutevin,Nr 36089,Sverige,750 ml,12 % vol.,218:-
Longview,Nr 93429,Australien,750 ml,13 % vol.,159:-
Errazuriz,Nr 2970,Chile,375 ml,13 % vol.,55:-
Ciavolich Fosso Cancelli,Nr 93389,Italien,750 ml,"12,5 % vol.",292:-
Muga,Nr 92242,Spanien,750 ml,"13,5 % vol.",125:-
Lotima Roselyn,Nr 36229,Sverige,750 ml,12 % vol.,225:-
Glup Rosado,Nr 93968,Chile,750 ml,"12,5 % vol.",159:-
Österlenvins Råsa,Nr 39524,Sverige,750 ml,12 % vol.,216:-
Guigal Tavel Rosé,Nr 92508,Frankrike,750 ml,"14,5 % vol.",175:-
Jacob's Creek,Nr 90405,Australien,750 ml,12 % vol.,100:-
G.D. Vajra,Nr 90351,Italien,750 ml,"12,5 % vol.",129:-
Stora Horns Vingård,Nr 38100,Sverige,750 ml,"11,5 % vol.",249:-
Vino Volta,Nr 92731,Australien,750 ml,13 % vol.,249:-
Stora Horns Vingård,Nr 38100,Sverige,750 ml,"11,5 % vol.",249:-
G.D. Vajra,Nr 90351,Italien,750 ml,"12,5 % vol.",129:-
Jacob's Creek,Nr 90405,Australien,750 ml,12 % vol.,100:-
Triennes,Nr 91228,Frankrike,750 ml,"12,5 % vol.",139:-
Tenuta delle Terre Nere,Nr 90129,Italien,750 ml,"13,5 % vol.",249:-
Rudu,Nr 39505,Sverige,375 ml,"11,5 % vol.",135:-
Susana Balbo,Nr 93564,Argentina,750 ml,"12,5 % vol.",159:-
Trapiche,Nr 93539,Argentina,750 ml,12 % vol.,121:-
Stoneleigh Wild Valley,Nr 94583,Nya Zeeland,750 ml,13 % vol.,128:-
Antoniolo,Nr 93330,Italien,750 ml,13 % vol.,179:-
Sandhammarens Rosé,Nr 38011,Sverige,750 ml,12 % vol.,191:-
Leitz,Nr 90296,Tyskland,750 ml,"12,5 % vol.",139:-
Tiroliro,Nr 93728,Portugal,750 ml,11 % vol.,111:-
Sancerre,Nr 93760,Frankrike,750 ml,13 % vol.,169:-
Schloss Gobelsburg,Nr 94019,Österrike,1 500 ml,12 % vol.,225:-
Villa Wolf Pinot Noir,Nr 92310,Tyskland,750 ml,12 % vol.,129:-
Wannborga,Nr 39292,Sverige,750 ml,"12,5 % vol.",266:-
Antoniolo Rosato,Nr 93826,Italien,750 ml,"13,5 % vol.",169:-
Casas del Bosque,Nr 94582,Chile,750 ml,13 % vol.,120:-
Rosé de Diel,Nr 90540,Tyskland,750 ml,12 % vol.,169:-
Högberga Rosé,Nr 37906,EU,750 ml,13 % vol.,151:-
Txomin Etxaniz,Nr 91310,Spanien,750 ml,"12,5 % vol.",139:-
Astrid Renässans,Nr 37682,Sverige,750 ml,12 % vol.,219:-
Afrodite,Nr 37699,Sverige,750 ml,"11,5 % vol.",239:-
Don Simon,Nr 58400,Spanien,750 ml,"11,5 % vol.",64:-
Jurtschitsch Rosé,Nr 5600,Österrike,750 ml,12 % vol.,125:-
Hola MZ,Nr 59620,Spanien,750 ml,12 % vol.,99:-
Ultimate Provence,Nr 56798,Frankrike,750 ml,13 % vol.,179:-
Villa Moncigale,Nr 59756,Frankrike,750 ml,"12,5 % vol.",139:-
Lyv,Nr 52465,Frankrike,750 ml,12 % vol.,109:-
Chavin,Nr 55843,Frankrike,750 ml,"12,5 % vol.",89:-
Baglietti,Nr 50336,Italien,750 ml,12 % vol.,89:-
Saints & Sinners,Nr 56623,Österrike,750 ml,"12,5 % vol.",145:-
Nashville Stories,Nr 55270,Italien,750 ml,12 % vol.,89:-
11 Minutes,Nr 73891,Italien,750 ml,"12,5 % vol.",139:-
ART'S,Nr 57718,Frankrike,187 ml,"12,5 % vol.",33:-*
Tr3 Apor,Nr 56717,Spanien,750 ml,"8,5 % vol.",69:-
Bardolino Chiaretto La Sogara Rosé,Nr 2363,Italien,750 ml,13 % vol.,79:-
Karl Fredrik,Nr 56456,Frankrike,750 ml,"11,5 % vol.",119:-
Nessa,Nr 55978,Frankrike,750 ml,"12,5 % vol.",149:-
Studio by Miraval,Nr 56007,Frankrike,750 ml,"12,5 % vol.",149:-
Le Due Arbie,Nr 2416,Italien,750 ml,"12,5 % vol.",115:-
Gyllene Tider,Nr 53999,Frankrike,750 ml,12 % vol.,149:-
Maggio,Nr 55854,Italien,750 ml,"12,5 % vol.",99:-
Condé,Nr 51139,Italien,750 ml,12 % vol.,169:-
Dreissigacker,Nr 73792,Tyskland,750 ml,"11,5 % vol.",219:-
Pago Casa Gran,Nr 55949,Spanien,750 ml,12 % vol.,159:-
Orenga de Gaffory,Nr 56074,Frankrike,750 ml,"12,5 % vol.",188:-
Mureda,Nr 73950,Spanien,750 ml,12 % vol.,69:-
Galets Rosé,Nr 76924,Frankrike,750 ml,"13,5 % vol.",149:-
Rambla,Nr 53624,Spanien,750 ml,12 % vol.,109:-
Gustavshof,Nr 55770,Tyskland,750 ml,"12,5 % vol.",179:-
Twenty Twelve Pink,Nr 56452,Spanien,750 ml,"13,5 % vol.",256:-
