name,art_nr,country,volume,alc_vol,price
Moncaro,Nr 2822,Italien,750 ml,13 % vol.,89:-*
Elara,Nr 20071,Spanien,750 ml,"12,5 % vol.",99:-
Voyage Blanc,Nr 1152,Frankrike,750 ml,"12,5 % vol.",89:-
The Rebellion,Nr 2064,Ungern,750 ml,"12,5 % vol.",79:-*
Gato Negro,Nr 7934,Chile,250 ml,12 % vol.,39:-*
Leth,Nr 4200,Österrike,750 ml,"12,5 % vol.",95:-
Moonlight Manor,Nr 6293,Sydafrika,750 ml,"12,5 % vol.",94:-
R,Nr 78596,Tyskland,1 000 ml,"12,5 % vol.",99:-
Ruppertsberger Hofstück,Nr 5914,Tyskland,750 ml,11 % vol.,79:-
Brochet Facile,Nr 2267,Frankrike,750 ml,"12,5 % vol.",99:-
Ruppertsberger Nussbien,Nr 5901,Tyskland,750 ml,10 % vol.,87:-
Ecologica Berlina Organic,Nr 6266,Tyskland,750 ml,"8,5 % vol.",69:-
Dimension,Nr 5006,Sydafrika,750 ml,13 % vol.,82:-
Black Tower,Nr 72350,EU,750 ml,"8,5 % vol.",76:-
Lindemans,Nr 16457,Australien,750 ml,"12,5 % vol.",79:-*
Lindeman's Bin 65,Nr 20043,Australien,750 ml,13 % vol.,85:-*
Sander,Nr 5464,Tyskland,750 ml,12 % vol.,99:-
Jacob's Creek,Nr 7496,Australien,375 ml,"12,5 % vol.",52:-
Crudo,Nr 4993,Italien,750 ml,"12,5 % vol.",94:-
P.Lex,Nr 74879,Italien,750 ml,12 % vol.,99:-
Viña Maipo,Nr 6671,Chile,750 ml,12 % vol.,65:-
Chablis,Nr 5637,Frankrike,375 ml,12 % vol.,99:-
Viña Maipo,Nr 6671,Chile,375 ml,12 % vol.,45:-
Alto Molino,Nr 20052,Argentina,750 ml,"13,5 % vol.",99:-
Jean Biecher,Nr 2198,Frankrike,750 ml,"12,5 % vol.",99:-
Les Fumées Blanches,Nr 22139,Frankrike,750 ml,"11,5 % vol.",99:-
Lindemans Bin 65,Nr 2106,Australien,375 ml,13 % vol.,53:-
Casal Garcia,Nr 2596,Portugal,750 ml,"8,5 % vol.",75:-
Nivole,Nr 7787,Italien,375 ml,5 % vol.,99:-
Stoneleigh,Nr 6311,Nya Zeeland,375 ml,13 % vol.,70:-
Königsmosel,Nr 7469,Tyskland,750 ml,"8,5 % vol.",79:-
