name,art_nr,country,volume,alc_vol,price
Castillo de Molina,Nr 2599,Chile,750 ml,"13,5 % vol.",89:-*
Le Sablou,Nr 2196,Frankrike,750 ml,"14,5 % vol.",89:-
Peñamonte,Nr 20072,Spanien,750 ml,"14,5 % vol.",79:-
Le Jardin,Nr 2729,Bulgarien,750 ml,"14,5 % vol.",89:-*
Lenz Moser,Nr 5439,Österrike,750 ml,13 % vol.,99:-
Espacio Syrah,Nr 2722,Argentina,750 ml,13 % vol.,79:-*
Gato Negro,Nr 7935,Chile,250 ml,13 % vol.,39:-*
Segredos de São Miguel,Nr 2603,Portugal,750 ml,"13,5 % vol.",99:-
Navarro Correas,Nr 2170,Argentina,375 ml,"14,5 % vol.",65:-
Terre de Mistral Reserve,Nr 2167,Frankrike,750 ml,"14,5 % vol.",99:-
Les Pious,Nr 2469,Frankrike,750 ml,14 % vol.,99:-*
Café Culture,Nr 2369,Sydafrika,750 ml,14 % vol.,99:-
Petit Paul Sapin,Nr 74014,Frankrike,187 ml,"13,5 % vol.",35:-*
The Fox and the grapes,Nr 2362,Australien,750 ml,14 % vol.,89:-*
Spring Village,Nr 6711,USA,750 ml,13 % vol.,79:-*
Grand Sud,Nr 74944,Frankrike,1 000 ml,"13,5 % vol.",93:-*
Casa Vinironia Palloncino,Nr 3034,Italien,750 ml,"13,5 % vol.",77:-*
Lindemans,Nr 6430,Australien,750 ml,"13,5 % vol.",79:-*
Raccolto,Nr 32452,Italien,375 ml,14 % vol.,52:-
Lindeman's Bin 45,Nr 20042,Australien,750 ml,"13,5 % vol.",85:-*
Ecoltura,Nr 72411,Italien,750 ml,"14,5 % vol.",99:-
Passicone,Nr 72169,Italien,1 000 ml,"13,5 % vol.",94:-
Massimo,Nr 73546,Italien,1 000 ml,13 % vol.,95:-
Viva Valentina,Nr 76598,Italien,750 ml,13 % vol.,99:-
Cigarra,Nr 2565,Portugal,750 ml,"13,5 % vol.",77:-
Côtes-du-Rhône,Nr 6018,Frankrike,750 ml,14 % vol.,89:-
Lambrusco Reggiano,Nr 22310,Italien,750 ml,7 % vol.,85:-
Trapiche,Nr 16554,Argentina,750 ml,"13,5 % vol.",95:-
Navajas,Nr 22652,Spanien,750 ml,14 % vol.,99:-
El Coto,Nr 12670,Spanien,375 ml,13 % vol.,56:-
Trapiche,Nr 16554,Argentina,750 ml,"13,5 % vol.",95:-
Navajas,Nr 22652,Spanien,750 ml,14 % vol.,99:-
El Coto,Nr 12670,Spanien,375 ml,13 % vol.,56:-
Côtes-du-Rhône,Nr 6018,Frankrike,750 ml,14 % vol.,89:-
Dandelion Vineyards,Nr 2129,Australien,375 ml,"14,5 % vol.",75:-
Governo Rosso Toscano,Nr 72526,Italien,750 ml,14 % vol.,99:-
Lynx,Nr 74087,USA,750 ml,14 % vol.,99:-
Zensa,Nr 73966,Italien,750 ml,14 % vol.,99:-
Cecchi,Nr 2312,Italien,750 ml,13 % vol.,89:-
Cigarra,Nr 2565,Portugal,750 ml,"13,5 % vol.",77:-
JP Chenet,Nr 4643,Frankrike,250 ml,13 % vol.,37:-
Stranger Zins,Nr 73094,Italien,1 000 ml,"13,5 % vol.",99:-
Mauro,Nr 32364,Italien,375 ml,"14,5 % vol.",49:-
Tommasi Graticcio Appassionato,Nr 5354,Italien,375 ml,"12,5 % vol.",72:-
CHILL OUT,Nr 6146,Argentina,750 ml,"13,5 % vol.",82:-*
Lisa 1503,Nr 72479,Italien,1 000 ml,"13,5 % vol.",99:-
Candidato Ecologico,Nr 22335,Spanien,750 ml,13 % vol.,79:-*
19 Crimes,Nr 73968,Australien,750 ml,"13,5 % vol.",99:-
Perdeberg,Nr 2137,Sydafrika,750 ml,14 % vol.,87:-
Gato Negro,Nr 7564,Chile,750 ml,13 % vol.,69:-
Torres Coronas,Nr 6996,Spanien,750 ml,"13,5 % vol.",89:-
Banderilleros Ecológico,Nr 2783,Spanien,750 ml,13 % vol.,89:-*
Porta 6 Tejo,Nr 2512,Portugal,750 ml,13 % vol.,89:-*
Viña Maipo,Nr 16510,Chile,750 ml,12 % vol.,64:-
Grandiosa,Nr 75825,Argentina,1 000 ml,13 % vol.,99:-
Jacob's Creek,Nr 2066,Australien,375 ml,"13,5 % vol.",52:-
El Coto,Nr 12670,Spanien,750 ml,"13,5 % vol.",89:-
Le Chef,Nr 71046,Frankrike,1 000 ml,"13,5 % vol.",95:-
Santa Helena Varietal,Nr 5059,Chile,1 000 ml,"12,5 % vol.",89:-*
CHILL OUT,Nr 2445,Sydafrika,1 000 ml,"13,5 % vol.",89:-*
Herència Altés,Nr 20065,Spanien,750 ml,"14,5 % vol.",99:-
Casillero del Diablo,Nr 2962,Chile,250 ml,"13,5 % vol.",37:-
Org de Rac,Nr 2073,Sydafrika,750 ml,"14,5 % vol.",99:-
Villa Puccini,Nr 32417,Italien,750 ml,"12,5 % vol.",99:-
Sangre de Toro,Nr 2686,Spanien,750 ml,"14,5 % vol.",99:-
Ruppertsberger,Nr 2974,Tyskland,750 ml,13 % vol.,87:-
Viña Maipo,Nr 16510,Chile,375 ml,"12,5 % vol.",45:-
Selvarossa,Nr 32228,Italien,750 ml,"13,5 % vol.",89:-
Epicuro,Nr 2326,Italien,750 ml,"14,5 % vol.",99:-
Barone Montalto,Nr 75416,Italien,750 ml,"13,5 % vol.",99:-
The Ultimate Zin,Nr 6008,USA,750 ml,14 % vol.,89:-
The Wanted Zin,Nr 74659,Italien,750 ml,"14,5 % vol.",89:-
Cameleon,Nr 6581,Argentina,375 ml,14 % vol.,59:-
Monterosso,Nr 22981,Italien,750 ml,14 % vol.,74:-
Cigarra Gran Passo,Nr 72302,Portugal,750 ml,14 % vol.,89:-*
Pietro Di Campo,Nr 74255,Italien,750 ml,13 % vol.,99:-
Spring Village,Nr 6711,USA,187 ml,13 % vol.,31:-*
Dão,Nr 12520,Portugal,750 ml,13 % vol.,77:-
Roodeberg,Nr 7451,Sydafrika,750 ml,14 % vol.,99:-
Penfolds Koonunga Hill,Nr 6253,Australien,750 ml,"14,5 % vol.",99:-
Maggio,Nr 76790,Italien,750 ml,"13,5 % vol.",99:-
Gött Rött,Nr 56690,Italien,750 ml,"13,5 % vol.",99:-
il Conte,Nr 2322,Italien,375 ml,14 % vol.,49:-
Penfolds Koonunga Hill,Nr 6253,Australien,375 ml,"14,5 % vol.",65:-
Yoga,Nr 2498,USA,750 ml,"13,5 % vol.",89:-*
Amazin',Nr 2539,USA,750 ml,14 % vol.,98:-*
Casteloro,Nr 77768,Italien,750 ml,13 % vol.,89:-
Mauro,Nr 32364,Italien,750 ml,"14,5 % vol.",79:-
The Big Zin,Nr 2428,Italien,750 ml,14 % vol.,89:-
Famiglia Grillo,Nr 72977,Italien,750 ml,14 % vol.,99:-
Novas Gran Reserva,Nr 6450,Chile,375 ml,"13,5 % vol.",65:-
Saint Auriol Chatelaine,Nr 4500,Frankrike,375 ml,14 % vol.,75:-
Viña Maipo,Nr 6685,Chile,750 ml,12 % vol.,64:-
CHILL OUT,Nr 2451,Argentina,750 ml,"13,5 % vol.",89:-*
Grande Nuit,Nr 2592,Frankrike,750 ml,13 % vol.,89:-*
Prego,Nr 79779,Italien,1 000 ml,13 % vol.,99:-
