name,art_nr,country,volume,alc_vol,price
SA NATURA,Nr 54860,Spanien,750 ml,"14,5 % vol.",179:-
Morellino di Scansano,Nr 53583,Italien,750 ml,14 % vol.,187:-
Blaufränkisch,Nr 52231,Österrike,750 ml,13 % vol.,189:-
Churelurez,Nr 51488,Frankrike,750 ml,12 % vol.,170:-
Malvirà,Nr 59819,Italien,750 ml,"13,5 % vol.",179:-
Chionetti Dogliani,Nr 50356,Italien,750 ml,"13,5 % vol.",184:-
Vinonista,Nr 57409,Italien,750 ml,"13,5 % vol.",179:-
La Vigne d'Albert,Nr 57650,Frankrike,750 ml,13 % vol.,179:-
Valle Reale,Nr 57773,Italien,750 ml,13 % vol.,189:-
El Pacto,Nr 57921,Spanien,750 ml,14 % vol.,184:-
Ritual,Nr 71064,Chile,750 ml,"13,5 % vol.",179:-
La Bascula,Nr 54620,Spanien,750 ml,"14,5 % vol.",176:-
Pandolfa,Nr 55463,Italien,750 ml,"13,5 % vol.",179:-
Earth Garden,Nr 55725,Nya Zeeland,750 ml,"13,5 % vol.",189:-
Lambrusco,Nr 56629,Italien,750 ml,11 % vol.,188:-
Trapadis,Nr 50609,Frankrike,750 ml,"13,5 % vol.",176:-
Tros De Mas Vilella,Nr 50658,Spanien,750 ml,14 % vol.,189:-
Naturalmente,Nr 50839,Italien,750 ml,"13,5 % vol.",189:-
Naturalmente Bio,Nr 50837,Italien,750 ml,"13,5 % vol.",189:-
Château Ponzac,Nr 51155,Frankrike,750 ml,"12,5 % vol.",175:-
Fritsch,Nr 51390,Österrike,750 ml,"12,5 % vol.",179:-
San Polo,Nr 56863,Italien,750 ml,"13,5 % vol.",179:-
Rottiers,Nr 53872,Frankrike,750 ml,12 % vol.,189:-
Castell D'Age,Nr 54425,Spanien,750 ml,14 % vol.,179:-
Chinon Silènes,Nr 53229,Frankrike,750 ml,14 % vol.,189:-
Raimonda,Nr 74196,Spanien,750 ml,14 % vol.,189:-
Côtes-du-Rhône Rouge,Nr 77520,Frankrike,750 ml,"14,5 % vol.",179:-
Casaloste,Nr 2375,Italien,750 ml,14 % vol.,170:-
Trittico,Nr 73432,Italien,750 ml,14 % vol.,170:-
Méndez Moya,Nr 76957,Spanien,750 ml,14 % vol.,174:-
