name,art_nr,country,volume,alc_vol,price
Moët & Chandon,Nr 7518,Frankrike,1 500 ml,12 % vol.,1 119:-
Pol Roger,Nr 7536,Frankrike,750 ml,"12,5 % vol.",749:-
Pol Roger,Nr 7549,Frankrike,1 500 ml,"12,5 % vol.",1 150:-
Dom Pérignon,Nr 7428,Frankrike,750 ml,"12,5 % vol.",2 399:-
André Clouet,Nr 7686,Frankrike,1 500 ml,12 % vol.,749:-
Pol Roger,Nr 77071,Frankrike,750 ml,"12,5 % vol.",749:-
Krug Grande Cuvée,Nr 7494,Frankrike,750 ml,"12,5 % vol.",2 449:-
Louis Roederer,Nr 76510,Frankrike,750 ml,"12,5 % vol.",799:-
Bollinger,Nr 7418,Frankrike,1 500 ml,12 % vol.,1 399:-
Henriot,Nr 77710,Frankrike,750 ml,12 % vol.,699:-
Bollinger,Nr 92499,Frankrike,750 ml,"12,5 % vol.",3 499:-
Ruinart,Nr 88291,Frankrike,750 ml,"12,5 % vol.",849:-
Cuvée Sir Winston Churchill,Nr 7548,Frankrike,750 ml,"12,5 % vol.",2 349:-
Larmandier-Bernier,Nr 92910,Frankrike,750 ml,"12,5 % vol.",799:-
Taittinger,Nr 7871,Frankrike,750 ml,"12,5 % vol.",695:-
Bollinger,Nr 7755,Frankrike,750 ml,12 % vol.,799:-
Louis Roederer,Nr 77226,Frankrike,750 ml,"12,5 % vol.",799:-
Laurent-Perrier,Nr 75308,Frankrike,750 ml,12 % vol.,899:-
Perrier-Jouët,Nr 87914,Frankrike,750 ml,"12,5 % vol.",1 599:-
Charles Heidsieck,Nr 92183,Frankrike,750 ml,12 % vol.,929:-
Bollinger,Nr 7579,Frankrike,750 ml,12 % vol.,1 899:-
Krug,Nr 87135,Frankrike,375 ml,12 % vol.,1 229:-
Armand de Brignac,Nr 77931,Frankrike,750 ml,"12,5 % vol.",2 699:-
Sugrue,Nr 56054,Storbritannien,750 ml,12 % vol.,749:-
Gramona,Nr 92979,Spanien,750 ml,12 % vol.,681:-
Millesime,Nr 92303,Frankrike,750 ml,"12,5 % vol.",899:-
Larmandier-Bernier,Nr 94488,Frankrike,750 ml,"12,5 % vol.",701:-
Gusbourne Brut Reserve,Nr 92210,Storbritannien,750 ml,12 % vol.,864:-
Palmer & Co,Nr 7867,Frankrike,1 500 ml,12 % vol.,1 249:-
Louis Roederer,Nr 91806,Frankrike,750 ml,"12,5 % vol.",2 659:-
Fleur de Miraval Rosé,Nr 95393,Frankrike,750 ml,"12,5 % vol.",3 290:-
Mas del Serral,Nr 94844,Spanien,750 ml,"12,5 % vol.",1 201:-
Louis Roederer,Nr 91321,Frankrike,750 ml,"12,5 % vol.",899:-
Bollinger,Nr 90354,Frankrike,750 ml,"12,5 % vol.",1 899:-
Veuve Clicquot,Nr 92710,Frankrike,750 ml,12 % vol.,699:-
Tribaut Authentique,Nr 92788,Frankrike,750 ml,"12,5 % vol.",859:-
Bollinger,Nr 90058,Frankrike,1 500 ml,12 % vol.,3 999:-
Sugrue Rosé,Nr 92349,Storbritannien,750 ml,12 % vol.,699:-
Turó d'en Mota,Nr 93400,Spanien,750 ml,"11,5 % vol.",1 081:-
Comtes de Champagne,Nr 93149,Frankrike,750 ml,"12,5 % vol.",1 997:-
Egly-Ouriet,Nr 91154,Frankrike,750 ml,"12,5 % vol.",765:-
Flädie Vingård och Vinproduktion,Nr 37490,Sverige,1 500 ml,"12,5 % vol.",646:-
Nyetimber 1086,Nr 92672,Storbritannien,750 ml,12 % vol.,1 999:-
Charles Heidsieck,Nr 92118,Frankrike,750 ml,12 % vol.,640:-
Laurent-Perrier,Nr 90468,Frankrike,750 ml,12 % vol.,1 801:-
Laurent-Perrier,Nr 90569,Frankrike,1 500 ml,12 % vol.,3 902:-
Henriot,Nr 92431,Frankrike,750 ml,12 % vol.,995:-
Bollinger,Nr 91201,Frankrike,750 ml,"12,5 % vol.",12 999:-
Bollinger,Nr 92478,Frankrike,750 ml,"12,5 % vol.",9 999:-
Amazone de Palmer,Nr 7947,Frankrike,750 ml,12 % vol.,1 299:-
Duval-Leroy,Nr 7913,Frankrike,750 ml,12 % vol.,639:-
Lanson,Nr 79208,Frankrike,750 ml,"12,5 % vol.",669:-
Fleury,Nr 53509,Frankrike,750 ml,12 % vol.,670:-
Lelarge-Pugeot,Nr 75339,Frankrike,750 ml,12 % vol.,655:-
Vincent Couche,Nr 79834,Frankrike,750 ml,12 % vol.,700:-
Cremant,Nr 58284,Frankrike,750 ml,"12,5 % vol.",640:-
Agusti Torello Mata,Nr 51033,Spanien,750 ml,"11,5 % vol.",795:-
Pol Roger,Nr 88285,Frankrike,750 ml,"12,5 % vol.",869:-
Lamborghini,Nr 53145,Italien,750 ml,12 % vol.,981:-
Lamborghini,Nr 50359,Italien,750 ml,12 % vol.,981:-
Ca’ del Bosco,Nr 94890,Italien,750 ml,13 % vol.,1 199:-
Lamborghini,Nr 50808,Italien,750 ml,11 % vol.,669:-
Philipponnat,Nr 74776,Frankrike,1 500 ml,12 % vol.,999:-
Veuve Clicquot,Nr 74996,Frankrike,1 500 ml,12 % vol.,1 209:-
Lanson,Nr 74155,Frankrike,750 ml,"12,5 % vol.",869:-
Thiénot,Nr 59263,Frankrike,750 ml,12 % vol.,1 499:-
Lamborghini,Nr 59602,Italien,750 ml,12 % vol.,993:-
Perseval-Farge,Nr 56151,Frankrike,750 ml,12 % vol.,849:-
Ruinart,Nr 58522,Frankrike,750 ml,"12,5 % vol.",849:-
Le Mesnil,Nr 59896,Frankrike,750 ml,"12,5 % vol.",892:-
Osby Champagne,Nr 55907,Frankrike,750 ml,"12,5 % vol.",706:-
Henriot,Nr 51130,Frankrike,750 ml,12 % vol.,1 895:-
Barons de Rothschild,Nr 54431,Frankrike,750 ml,12 % vol.,899:-
Guy Michel,Nr 76679,Frankrike,750 ml,"12,8 % vol.",1 258:-
Delamotte,Nr 7351,Frankrike,1 500 ml,12 % vol.,1 230:-
Henriot,Nr 81422,Frankrike,750 ml,12 % vol.,649:-
Pierre Peters,Nr 7350,Frankrike,1 500 ml,12 % vol.,979:-
Marc Hebrart,Nr 77437,Frankrike,750 ml,"12,5 % vol.",899:-
Lanson,Nr 7495,Frankrike,750 ml,"12,5 % vol.",639:-
Piper-Heidsieck,Nr 77332,Frankrike,1 500 ml,12 % vol.,899:-
Louis Bouillot,Nr 7688,Frankrike,3 000 ml,12 % vol.,1 249:-
Clos du Moulin,Nr 77399,Frankrike,750 ml,"12,5 % vol.",919:-
Taittinger Brut,Nr 87327,Frankrike,1 500 ml,12 % vol.,1 149:-
Taittinger,Nr 7898,Frankrike,750 ml,12 % vol.,699:-
Louis Roederer,Nr 77498,Frankrike,1 500 ml,"12,5 % vol.",1 289:-
Michel Turgy,Nr 77694,Frankrike,750 ml,12 % vol.,619:-
Alfred Gratien,Nr 78616,Frankrike,750 ml,"12,5 % vol.",839:-
Palmer,Nr 72076,Frankrike,1 500 ml,12 % vol.,849:-
Perrier Jouët,Nr 56155,Frankrike,750 ml,12 % vol.,746:-
Lamborghini,Nr 50333,Italien,750 ml,12 % vol.,669:-
Lamborghini,Nr 53352,Italien,750 ml,12 % vol.,668:-
Pertois-Lebrun,Nr 50348,Frankrike,750 ml,12 % vol.,1 050:-
Pertois-Lebrun,Nr 53107,Frankrike,750 ml,12 % vol.,649:-
Guerlet-Deguerne,Nr 53389,Frankrike,750 ml,"12,5 % vol.",600:-
Holo,Nr 52154,Frankrike,1 500 ml,12 % vol.,899:-
Ca' del Bosco,Nr 53364,Italien,750 ml,"12,5 % vol.",899:-
Champagne Forget-Brimont,Nr 53069,Frankrike,750 ml,12 % vol.,834:-
Gosset,Nr 52381,Frankrike,750 ml,12 % vol.,2 589:-
Deutz,Nr 52783,Frankrike,750 ml,12 % vol.,749:-
Ca' del Bosco,Nr 53146,Italien,750 ml,13 % vol.,1 299:-
Les Meuniers de Chamery,Nr 50638,Frankrike,750 ml,"12,5 % vol.",600:-
Luc Belaire,Nr 51721,Frankrike,1 500 ml,"12,5 % vol.",999:-
Luc Belaire,Nr 51782,Frankrike,1 500 ml,"12,5 % vol.",999:-
Liberty,Nr 51627,Frankrike,750 ml,"12,5 % vol.",1 499:-
Chapuy,Nr 52909,Frankrike,750 ml,"12,5 % vol.",679:-
Lanson,Nr 7500,Frankrike,1 500 ml,"12,5 % vol.",1 089:-
Canard Duchêne,Nr 53526,Frankrike,750 ml,12 % vol.,899:-
BelColle,Nr 51351,Italien,1 500 ml,13 % vol.,989:-
Gemin,Nr 53831,Italien,750 ml,"11,5 % vol.",676:-
Cuvée Marie,Nr 52903,Frankrike,750 ml,12 % vol.,672:-
Philippe Gonet,Nr 55151,Frankrike,750 ml,12 % vol.,625:-
