name,art_nr,country,volume,alc_vol,price
Digno,Nr 20069,Chile,750 ml,13 % vol.,109:-
Wakefield Estate,Nr 4700,Australien,750 ml,"13,5 % vol.",129:-
Vin col Fondo,Nr 2301,Italien,750 ml,11 % vol.,129:-
Riesling Feinherb,Nr 1145,Tyskland,750 ml,11 % vol.,119:-
Stoneleigh,Nr 6311,Nya Zeeland,750 ml,13 % vol.,119:-
King’s Bay,Nr 73738,Nya Zeeland,750 ml,12 % vol.,129:-
Jean Biecher,Nr 12284,Frankrike,750 ml,12 % vol.,115:-
Leitz Eins Zwei Dry,Nr 5822,Tyskland,750 ml,12 % vol.,105:-
Sander,Nr 5368,Tyskland,750 ml,12 % vol.,119:-
Jean Biecher Pinot Gris,Nr 81401,Frankrike,750 ml,13 % vol.,115:-
Brochet Réserve,Nr 78967,Frankrike,750 ml,13 % vol.,119:-
L,Nr 5649,Frankrike,750 ml,13 % vol.,109:-
Saint Clair,Nr 12000,Nya Zeeland,750 ml,13 % vol.,109:-
La Désirée,Nr 6321,Frankrike,750 ml,"12,5 % vol.",105:-
Stoneleigh,Nr 6498,Nya Zeeland,750 ml,11 % vol.,109:-
Lynx,Nr 4653,USA,750 ml,13 % vol.,109:-
Castiôn,Nr 7873,Italien,750 ml,"5,5 % vol.",114:-
Gustave Lorentz,Nr 22257,Frankrike,750 ml,"12,5 % vol.",119:-
Dr L,Nr 7218,Tyskland,750 ml,"10,5 % vol.",109:-
Buttery Barrel,Nr 2795,USA,750 ml,"13,5 % vol.",129:-
Stoneleigh,Nr 6427,Nya Zeeland,750 ml,"13,5 % vol.",119:-
Casal di Serra Classico Superiore,Nr 12419,Italien,750 ml,13 % vol.,109:-
Blason de Bourgogne Mâcon-Villages,Nr 2295,Frankrike,750 ml,"12,5 % vol.",134:-
Alvarinho Contacto,Nr 6707,Portugal,750 ml,"12,5 % vol.",129:-
Gustave Lorentz,Nr 5244,Frankrike,750 ml,"14,5 % vol.",119:-
Labouré-Roi,Nr 77372,Frankrike,750 ml,"12,5 % vol.",139:-
Château du Levant,Nr 4153,Frankrike,375 ml,"13,5 % vol.",139:-
Château Baulac Dodijos,Nr 2154,Frankrike,375 ml,"13,5 % vol.",135:-
Petit Chablis,Nr 5585,Frankrike,375 ml,"12,5 % vol.",105:-
Kloster Eberbach,Nr 5810,Tyskland,750 ml,8 % vol.,129:-
Villa Dauga,Nr 2320,Spanien,750 ml,"12,5 % vol.",119:-
Turckheim Pinot Gris,Nr 2119,Frankrike,750 ml,13 % vol.,109:-
Hunter's,Nr 6202,Nya Zeeland,750 ml,12 % vol.,139:-
Opta Encruzado,Nr 2112,Portugal,750 ml,13 % vol.,119:-
Tommasi Adorato,Nr 2147,Italien,750 ml,"12,5 % vol.",109:-
Laroche,Nr 5621,Frankrike,750 ml,"12,5 % vol.",139:-
Château Menota,Nr 4087,Frankrike,375 ml,13 % vol.,129:-
Folklore,Nr 6263,Spanien,750 ml,"12,5 % vol.",119:-
Dreissigacker,Nr 2294,Tyskland,750 ml,"11,5 % vol.",139:-
Nederburg,Nr 2741,Sydafrika,375 ml,11 % vol.,119:-
Marqués de Riscal,Nr 6001,Spanien,750 ml,13 % vol.,119:-
Ricossa,Nr 4325,Italien,750 ml,7 % vol.,109:-
Domaine Bousquet,Nr 5007,Argentina,750 ml,13 % vol.,129:-
Pratsch,Nr 2922,Österrike,750 ml,12 % vol.,104:-
Pinot Gris,Nr 2899,Frankrike,750 ml,"13,5 % vol.",115:-
Château Bonnet,Nr 4151,Frankrike,750 ml,13 % vol.,109:-
The Econic,Nr 6716,USA,750 ml,13 % vol.,119:-
Cantina Zaccagnini,Nr 70297,Italien,750 ml,12 % vol.,109:-
Sancerre,Nr 5494,Frankrike,375 ml,13 % vol.,119:-
Hubert Beck,Nr 12105,Frankrike,750 ml,13 % vol.,115:-
Saint Clair,Nr 2188,Nya Zeeland,750 ml,"12,5 % vol.",109:-
Raig de Raïm,Nr 96028,Spanien,750 ml,14 % vol.,119:-
Bergh,Nr 81109,Österrike,750 ml,"12,5 % vol.",119:-
Soltész Egri Csillag Selection,Nr 92149,Ungern,750 ml,12 % vol.,125:-
Chateau Ste Michelle,Nr 6447,USA,750 ml,14 % vol.,139:-
McManis,Nr 6290,USA,750 ml,"13,5 % vol.",115:-
Petit Chablis Domaine Sainte Claire,Nr 5588,Frankrike,375 ml,"12,5 % vol.",109:-
Church Road,Nr 20050,Nya Zeeland,750 ml,"13,5 % vol.",139:-
De Martino Legado,Nr 4697,Chile,750 ml,13 % vol.,119:-
Château La Rame,Nr 7962,Frankrike,375 ml,13 % vol.,119:-
Soave Classico,Nr 94810,Italien,750 ml,"12,5 % vol.",139:-
Maison Vialade Languedoc,Nr 20054,Frankrike,750 ml,"12,5 % vol.",119:-
Stoneleigh,Nr 2336,Nya Zeeland,750 ml,9 % vol.,109:-
