name,art_nr,country,volume,alc_vol,price
Chassagne-Montrachet,Nr 5648,Frankrike,750 ml,"13,5 % vol.",899:-
Château Suduiraut,Nr 3004,Frankrike,750 ml,14 % vol.,799:-
Chablis Premier Cru,Nr 96138,Frankrike,750 ml,13 % vol.,419:-
Chablis,Nr 6307,Frankrike,1 500 ml,"12,5 % vol.",479:-
Chablis Premier Cru Montée de Tonnerre,Nr 5587,Frankrike,750 ml,13 % vol.,439:-
Savigny les Beaune Blanc,Nr 92176,Frankrike,750 ml,"13,5 % vol.",459:-
Immelen,Nr 92136,Sverige,750 ml,"13,5 % vol.",489:-
Mercurey 1er Cru Clos Marcilly,Nr 93034,Frankrike,750 ml,14 % vol.,499:-
Pernand-Vergelesses,Nr 94621,Frankrike,750 ml,13 % vol.,439:-
Shafer,Nr 90344,USA,750 ml,15 % vol.,599:-
Ried Welles,Nr 90240,Österrike,750 ml,13 % vol.,491:-
Dix-Neuvième,Nr 95258,Kanada,750 ml,12 % vol.,469:-
Inniskillin,Nr 92019,Kanada,375 ml,"9,5 % vol.",699:-
Calera,Nr 92261,USA,750 ml,"14,5 % vol.",559:-
Peter Jakob Kühn Landgeflecht,Nr 94078,Tyskland,750 ml,"12,5 % vol.",1 077:-
HIPPING,Nr 93222,Tyskland,750 ml,"12,5 % vol.",549:-
PETTENTHAL,Nr 93180,Tyskland,750 ml,"12,5 % vol.",549:-
Oremus,Nr 94784,Ungern,500 ml,12 % vol.,589:-
Château de Beaucastel,Nr 92594,Frankrike,750 ml,14 % vol.,1 190:-
Erdener Treppchen,Nr 93949,Tyskland,750 ml,"7,5 % vol.",759:-
Silex,Nr 38632,Sverige,1 500 ml,15 % vol.,784:-
Von Winning,Nr 93060,Tyskland,750 ml,13 % vol.,879:-
Schäfer-Fröhlich,Nr 92029,Tyskland,750 ml,"12,5 % vol.",549:-
K,Nr 93009,Sverige,750 ml,"14,5 % vol.",689:-
Ürziger Würzgarten,Nr 93948,Tyskland,750 ml,"7,5 % vol.",759:-
Penfolds Yattarna,Nr 92477,Australien,750 ml,"12,5 % vol.",1 199:-
Zeltinger Sonnenuhr Trockenbeerenauslese,Nr 95155,Tyskland,375 ml,"6,5 % vol.",1 206:-
Château Rieussec,Nr 92268,Frankrike,750 ml,14 % vol.,1 295:-
Vinhas Velhas Vinho Branco,Nr 90440,Portugal,750 ml,11 % vol.,699:-
Zeltinger Schlossberg Auslese ***,Nr 94960,Tyskland,750 ml,"7,5 % vol.",747:-
Vinhas Velhas Vinho Branco,Nr 90440,Portugal,750 ml,11 % vol.,699:-
Zeltinger Himmelreich Auslese***,Nr 93946,Tyskland,750 ml,"7,5 % vol.",759:-
Cervaro della Sala,Nr 99471,Italien,750 ml,"12,5 % vol.",599:-
Volare del Flor,Nr 91225,Argentina,375 ml,13 % vol.,699:-
Arboreus,Nr 92243,Italien,750 ml,"12,5 % vol.",499:-
Penfolds Reserve,Nr 90589,Australien,750 ml,"12,5 % vol.",699:-
Savoy Andersson,Nr 92109,USA,750 ml,"13,5 % vol.",579:-
Chateau Suduiraut,Nr 92871,Frankrike,750 ml,14 % vol.,559:-
Santenay Blanc,Nr 90336,Frankrike,750 ml,13 % vol.,499:-
Mount Eden Estate,Nr 93032,USA,750 ml,14 % vol.,649:-
Joh Jos Prüm,Nr 93122,Tyskland,750 ml,8 % vol.,529:-
Niepoort Coche,Nr 92547,Portugal,750 ml,12 % vol.,599:-
Weingut Van Volxem,Nr 94857,Tyskland,750 ml,"12,5 % vol.",419:-
Château de Fieuzal,Nr 91277,Frankrike,750 ml,13 % vol.,589:-
Zeltinger Sonnenuhr,Nr 93950,Tyskland,375 ml,"6,5 % vol.",755:-
Nierstein,Nr 94172,Tyskland,750 ml,"11,5 % vol.",599:-
Chablis Premier Cru,Nr 91145,Frankrike,750 ml,13 % vol.,529:-
Creation,Nr 91284,Sydafrika,750 ml,14 % vol.,649:-
Weingut Christmann,Nr 92622,Tyskland,750 ml,"12,5 % vol.",560:-
Richmond Grove,Nr 93261,Australien,750 ml,"12,5 % vol.",699:-
One,Nr 37406,Sverige,750 ml,"17,5 % vol.",549:-
Von Winning,Nr 93133,Tyskland,750 ml,13 % vol.,1 029:-
Chateau d'Yquem,Nr 93874,Frankrike,375 ml,14 % vol.,2 696:-
Lenswood,Nr 95244,Australien,750 ml,"13,5 % vol.",472:-
By Farr,Nr 92227,Australien,750 ml,"13,5 % vol.",529:-
Erdener Treppchen,Nr 93474,Tyskland,375 ml,"7,5 % vol.",2 395:-
Willi Schaefer Domprobst Riesling Beerenauslese,Nr 95080,Tyskland,375 ml,"6,5 % vol.",1 549:-
Ürziger Würzgarten,Nr 93423,Tyskland,375 ml,6 % vol.,2 395:-
Midnattssol,Nr 37863,Sverige,750 ml,"14,5 % vol.",444:-
Weingut Van Volxem,Nr 94854,Tyskland,750 ml,12 % vol.,419:-
Ürziger Würzgarten,Nr 93423,Tyskland,375 ml,6 % vol.,2 395:-
Erdener Treppchen,Nr 93474,Tyskland,375 ml,"7,5 % vol.",2 395:-
Summum,Nr 94608,USA,750 ml,13 % vol.,855:-
RBØ Riesling,Nr 93799,Frankrike,750 ml,13 % vol.,429:-
Pavillon Blanc,Nr 91252,Frankrike,750 ml,13 % vol.,3 680:-
Willi Schaefer Domprobst Riesling Beerenauslese,Nr 95080,Tyskland,375 ml,"6,5 % vol.",1 549:-
Midnattssol,Nr 37863,Sverige,750 ml,"14,5 % vol.",444:-
Weingut Van Volxem,Nr 94854,Tyskland,750 ml,12 % vol.,419:-
Brocard,Nr 90020,Frankrike,1 500 ml,13 % vol.,1 399:-
Wehlener Klosterberg Beerenauslese,Nr 93985,Tyskland,375 ml,7 % vol.,529:-
Penfolds,Nr 94145,Australien,750 ml,"12,5 % vol.",1 199:-
Mullineux,Nr 92609,Sydafrika,750 ml,"13,5 % vol.",491:-
Catena Zapata Adrianna Vineyard,Nr 93226,Argentina,750 ml,"12,5 % vol.",845:-
Mersault,Nr 93352,Frankrike,750 ml,13 % vol.,1 190:-
Quinta do Ribeirinho,Nr 94085,Portugal,750 ml,"12,5 % vol.",489:-
