name,art_nr,country,volume,alc_vol,price
Tommasi,Nr 22350,Italien,750 ml,15 % vol.,325:-
Château Mont-Redon,Nr 2811,Frankrike,750 ml,"14,5 % vol.",329:-
Masi Costasera,Nr 2345,Italien,750 ml,15 % vol.,349:-
Malleolus,Nr 92470,Spanien,750 ml,"14,5 % vol.",329:-
Olivier Leflaive,Nr 5447,Frankrike,750 ml,13 % vol.,319:-
Château de Camensac,Nr 92997,Frankrike,750 ml,"13,5 % vol.",343:-
Châteauneuf-du-Pape,Nr 2845,Frankrike,750 ml,15 % vol.,325:-
Arzuaga,Nr 90627,Spanien,750 ml,"14,5 % vol.",349:-
Barolo Serralunga,Nr 2330,Italien,750 ml,"14,5 % vol.",349:-
Tenuta Belguardo,Nr 94351,Italien,750 ml,"13,5 % vol.",329:-
Disanfrancesco,Nr 93250,Italien,750 ml,14 % vol.,319:-
Domaine Montirius,Nr 93390,Frankrike,750 ml,"14,5 % vol.",336:-
Chianti,Nr 92581,Italien,750 ml,14 % vol.,329:-
Cristom Mt Jefferson Cuvée,Nr 90414,USA,750 ml,"13,5 % vol.",369:-
Massimo Lentsch,Nr 94131,Italien,750 ml,"13,5 % vol.",349:-
Alfa Crux,Nr 92285,Argentina,750 ml,"14,5 % vol.",339:-
Gérard Bertrand,Nr 72914,Frankrike,750 ml,"15,5 % vol.",369:-
Campillo 57 Rioja Selección Especial,Nr 92419,Spanien,750 ml,"14,5 % vol.",369:-
Il Ceretto,Nr 93630,Italien,750 ml,14 % vol.,319:-
Dehesa 14,Nr 93081,Spanien,750 ml,15 % vol.,339:-
Rvp,Nr 94486,Sverige,750 ml,"13,5 % vol.",359:-
Cà Morei,Nr 95005,Italien,750 ml,"13,5 % vol.",339:-
Heinrich Maneuver,Nr 38310,EU,750 ml,12 % vol.,312:-
La Comune,Nr 92251,Italien,750 ml,14 % vol.,344:-
Marchand & Burch,Nr 91173,Australien,750 ml,"13,5 % vol.",349:-
Le Grand Clos,Nr 92056,Frankrike,750 ml,13 % vol.,329:-
Ojai Santa Barbara,Nr 5497,USA,750 ml,13 % vol.,359:-
Nossa Calcario Baga,Nr 94133,Portugal,750 ml,"12,5 % vol.",329:-
David & Nadia,Nr 90393,Sydafrika,750 ml,"13,5 % vol.",319:-
Chateauneuf-du-Pape Tradition,Nr 94070,Frankrike,750 ml,15 % vol.,315:-
Chateauneuf-du-Pape Tradition,Nr 94070,Frankrike,750 ml,15 % vol.,315:-
Valtellina Superiore,Nr 90266,Italien,750 ml,14 % vol.,344:-
Zidarich,Nr 90424,Italien,750 ml,"11,5 % vol.",349:-
Eperosa,Nr 94639,Australien,750 ml,"13,2 % vol.",346:-
Castello Fonterutoli,Nr 32130,Italien,750 ml,"13,5 % vol.",329:-
Domaine Rewa,Nr 96359,Nya Zeeland,750 ml,"13,5 % vol.",329:-
José Zuccardi,Nr 92834,Argentina,750 ml,"14,5 % vol.",344:-
Wine Mechanics,Nr 33244,EU,750 ml,"12,5 % vol.",319:-
ÉXZITO,Nr 50591,Spanien,750 ml,"14,5 % vol.",339:-
Viña Pedrosa,Nr 95002,Spanien,750 ml,"14,5 % vol.",318:-
Côtes du Vivarais,Nr 91322,Frankrike,750 ml,"13,5 % vol.",369:-
Territorio Luthier,Nr 91129,Spanien,750 ml,"14,5 % vol.",365:-
Fürst,Nr 92684,Tyskland,750 ml,13 % vol.,335:-
Pernand-Vergelesses Premier Cru,Nr 2286,Frankrike,750 ml,13 % vol.,369:-
Il Frappato,Nr 92845,Italien,750 ml,"12,5 % vol.",329:-
Château de la Chaize,Nr 90068,Frankrike,750 ml,"14,5 % vol.",329:-
Goliardo Caiño,Nr 94565,Spanien,750 ml,12 % vol.,319:-
Wannborga,Nr 39106,Sverige,750 ml,"11,5 % vol.",307:-
Cosentino,Nr 94655,Italien,750 ml,13 % vol.,346:-
Frankovka,Nr 94701,Slovakien,750 ml,13 % vol.,351:-
Promis,Nr 90231,Italien,750 ml,"14,5 % vol.",329:-
Taté,Nr 94542,Spanien,750 ml,"12,5 % vol.",359:-
Rabbit Hole Pinot Noir,Nr 93932,Storbritannien,750 ml,"13,5 % vol.",329:-
Château Bouscassé,Nr 94223,Frankrike,750 ml,14 % vol.,329:-
Monte Meäo,Nr 93672,Portugal,750 ml,14 % vol.,339:-
Domaine Graeme & Julie Bott,Nr 93824,Frankrike,750 ml,"13,5 % vol.",329:-
Rocky Point,Nr 93062,Nya Zeeland,750 ml,13 % vol.,314:-
Morgon Côte du Py,Nr 95239,Frankrike,750 ml,"12,5 % vol.",339:-
Bonavita,Nr 93896,Italien,750 ml,"12,5 % vol.",369:-
Gigondas,Nr 93688,Frankrike,750 ml,"14,5 % vol.",325:-
Barolo di Serralunga,Nr 92358,Italien,750 ml,14 % vol.,345:-
Barolo,Nr 92354,Italien,750 ml,"14,5 % vol.",349:-
Château Cantemerle,Nr 90490,Frankrike,750 ml,"13,5 % vol.",305:-
Barolo,Nr 92367,Italien,750 ml,"14,5 % vol.",369:-
SC Pannell,Nr 93476,Australien,750 ml,"14,2 % vol.",369:-
Marchand & Burch,Nr 93448,Australien,750 ml,"13,5 % vol.",339:-
Barbera d´Alba,Nr 94623,Italien,750 ml,14 % vol.,306:-
J Alberto,Nr 94777,Argentina,750 ml,"13,5 % vol.",359:-
Ojai,Nr 91807,USA,750 ml,"13,5 % vol.",316:-
Alfa Crux,Nr 93347,Argentina,750 ml,"14,7 % vol.",319:-
Albamar,Nr 92585,Spanien,750 ml,"11,5 % vol.",319:-
Langhe Nebbiolo,Nr 92792,Italien,750 ml,"14,5 % vol.",349:-
Morgon,Nr 70212,Frankrike,750 ml,12 % vol.,319:-
Barolo Biologico,Nr 72124,Italien,750 ml,"14,5 % vol.",325:-
Massimo Rivetti,Nr 50871,Italien,750 ml,14 % vol.,329:-
Le Coste,Nr 52946,Italien,750 ml,13 % vol.,339:-
Panzanello,Nr 75021,Italien,750 ml,"14,5 % vol.",355:-
Avondale,Nr 50951,Sydafrika,750 ml,"14,5 % vol.",349:-
Montrubí,Nr 53847,Spanien,750 ml,13 % vol.,348:-
Montrubi,Nr 51738,Spanien,750 ml,14 % vol.,319:-
Lissner,Nr 59435,Frankrike,750 ml,"12,5 % vol.",329:-
Toreye,Nr 51136,Tyskland,750 ml,"13,5 % vol.",332:-
Toreye Spätburgunder,Nr 51348,Tyskland,750 ml,13 % vol.,332:-
il Nibbio,Nr 59213,Italien,750 ml,14 % vol.,354:-
Tommaso,Nr 56567,Italien,750 ml,14 % vol.,329:-
Cigliano di Sopra,Nr 52720,Italien,750 ml,"13,5 % vol.",340:-
Finca Sandoval,Nr 52978,Spanien,750 ml,"13,5 % vol.",356:-
Persevero,Nr 59787,Frankrike,750 ml,"14,5 % vol.",349:-
Fleurie,Nr 76715,Frankrike,750 ml,"11,5 % vol.",329:-
Ceretto,Nr 79601,Italien,750 ml,14 % vol.,309:-
Dorli Muhr,Nr 79096,Österrike,750 ml,13 % vol.,349:-
Finca Sandoval,Nr 52978,Spanien,750 ml,"13,5 % vol.",356:-
Il Riccio,Nr 53305,Italien,750 ml,"14,5 % vol.",309:-
Gigondas,Nr 53341,Frankrike,750 ml,15 % vol.,344:-
Gigondas,Nr 53342,Frankrike,750 ml,15 % vol.,344:-
Monsordo,Nr 73225,Italien,750 ml,14 % vol.,309:-
Camparo,Nr 76340,Italien,750 ml,15 % vol.,359:-
Veneroso,Nr 75541,Italien,750 ml,"14,5 % vol.",345:-
Domaine de la Graveirette,Nr 75461,Frankrike,750 ml,"14,5 % vol.",345:-
Coster de l'Alzina,Nr 55312,Spanien,750 ml,"14,5 % vol.",359:-
Persevero,Nr 59787,Frankrike,750 ml,"14,5 % vol.",349:-
Lissner,Nr 59435,Frankrike,750 ml,"12,5 % vol.",329:-
Weingut Am Stein,Nr 55862,Tyskland,750 ml,"12,5 % vol.",365:-
Zahel,Nr 56191,Österrike,750 ml,"12,5 % vol.",319:-
Bosio,Nr 56524,Italien,750 ml,"14,5 % vol.",329:-
Zahel An Amphora,Nr 56588,Österrike,750 ml,13 % vol.,319:-
La Bascula IIIxIII,Nr 53671,Spanien,750 ml,14 % vol.,305:-
Château Pictet-Lullin,Nr 53951,Schweiz,750 ml,13 % vol.,307:-
Elegante,Nr 59373,Frankrike,750 ml,"14,5 % vol.",350:-
Gotico,Nr 77564,Italien,1 500 ml,14 % vol.,346:-
Finca Villacreces,Nr 74251,Spanien,750 ml,14 % vol.,309:-
Domaine Santa Duc,Nr 74048,Frankrike,750 ml,"14,5 % vol.",360:-
Grifola,Nr 71347,Italien,750 ml,15 % vol.,309:-
Bourgogne Côte Chalonnaise,Nr 71721,Frankrike,750 ml,"12,5 % vol.",358:-
Bourgogne Rouge,Nr 79711,Frankrike,750 ml,"12,5 % vol.",349:-
Yann Chave Crozes-Hermitage,Nr 72053,Frankrike,750 ml,14 % vol.,369:-
Montefalco Sagrantino,Nr 70322,Italien,750 ml,15 % vol.,329:-
Terreno,Nr 78911,Italien,750 ml,14 % vol.,345:-
Château des Annereaux,Nr 74200,Frankrike,750 ml,"14,5 % vol.",319:-
Le Coste,Nr 52946,Italien,750 ml,13 % vol.,339:-
Gotico,Nr 77564,Italien,1 500 ml,14 % vol.,346:-
Finca Villacreces,Nr 74251,Spanien,750 ml,14 % vol.,309:-
Domaine Santa Duc,Nr 74048,Frankrike,750 ml,"14,5 % vol.",360:-
Grifola,Nr 71347,Italien,750 ml,15 % vol.,309:-
Bourgogne Côte Chalonnaise,Nr 71721,Frankrike,750 ml,"12,5 % vol.",358:-
Bourgogne Rouge,Nr 79711,Frankrike,750 ml,"12,5 % vol.",349:-
Yann Chave Crozes-Hermitage,Nr 72053,Frankrike,750 ml,14 % vol.,369:-
Montefalco Sagrantino,Nr 70322,Italien,750 ml,15 % vol.,329:-
Terreno,Nr 78911,Italien,750 ml,14 % vol.,345:-
Château des Annereaux,Nr 74200,Frankrike,750 ml,"14,5 % vol.",319:-
The Butcher,Nr 70521,Österrike,1 500 ml,"13,5 % vol.",339:-
La Dame de Malescot,Nr 5491,Frankrike,750 ml,"13,5 % vol.",369:-
Banfi,Nr 71495,Italien,750 ml,"14,5 % vol.",319:-
Englar,Nr 78119,Italien,750 ml,"12,5 % vol.",309:-
Zorzal Eggo,Nr 79409,Argentina,750 ml,14 % vol.,338:-
Anthonij Rupert,Nr 50370,Sydafrika,750 ml,14 % vol.,333:-
Kutch,Nr 55158,USA,750 ml,13 % vol.,349:-
Cloudy Bay,Nr 59252,Nya Zeeland,750 ml,14 % vol.,349:-
Kanonkop Estate,Nr 95703,Sydafrika,750 ml,"14,5 % vol.",339:-
Small Island,Nr 52800,Australien,750 ml,"13,5 % vol.",359:-
Vendome Ergeron,Nr 58659,Frankrike,750 ml,13 % vol.,349:-
Newton Johnson,Nr 58771,Sydafrika,750 ml,"13,5 % vol.",349:-
Enzo Bartoli,Nr 77350,Italien,750 ml,14 % vol.,329:-
Barbera d'Alba,Nr 78852,Italien,750 ml,"15,5 % vol.",329:-
Englar,Nr 78404,Italien,750 ml,"13,5 % vol.",359:-
Bread & Butter,Nr 56429,USA,750 ml,"14,5 % vol.",349:-
Bruno Franzos,Nr 50195,Italien,750 ml,16 % vol.,336:-
Château Malescasse,Nr 53810,Frankrike,750 ml,14 % vol.,349:-
Matias Riccitelli,Nr 53108,Argentina,750 ml,"14,5 % vol.",319:-
Frog's Leap,Nr 79609,USA,750 ml,14 % vol.,329:-
Barolo,Nr 2305,Italien,750 ml,14 % vol.,309:-
Mouton Cadet,Nr 74951,Frankrike,1 500 ml,13 % vol.,369:-
Finca Biniagual,Nr 70591,Spanien,750 ml,15 % vol.,302:-
Marrone,Nr 79188,Italien,750 ml,15 % vol.,335:-
Pasqua,Nr 2358,Italien,750 ml,15 % vol.,319:-
De Toren,Nr 71545,Sydafrika,750 ml,"14,5 % vol.",319:-
DeLoach Vineyards,Nr 2222,USA,750 ml,"14,5 % vol.",319:-
Chianti Classico Riserva,Nr 79889,Italien,750 ml,"14,5 % vol.",327:-
Altos Las Hormigas,Nr 70721,Argentina,750 ml,"13,5 % vol.",319:-
Post House,Nr 52405,Sydafrika,750 ml,"14,5 % vol.",319:-
Claire & Florent Bejon,Nr 53189,Frankrike,750 ml,"12,5 % vol.",317:-
Moncucco,Nr 53366,Italien,750 ml,15 % vol.,365:-
Contucci,Nr 51073,Italien,750 ml,14 % vol.,303:-
