name,art_nr,country,volume,alc_vol,price
Kershaw,Nr 93440,Sydafrika,750 ml,"13,5 % vol.",399:-
Château Latour-Martillac,Nr 90230,Frankrike,750 ml,13 % vol.,373:-
Ojai,Nr 93935,USA,750 ml,13 % vol.,369:-
Alvear,Nr 94791,Spanien,750 ml,13 % vol.,301:-
Leitz,Nr 93911,Tyskland,750 ml,"12,5 % vol.",379:-
Lotima Noble,Nr 38579,Sverige,750 ml,11 % vol.,345:-
Joh Jos Prüm Wehlener Sonnenuhr,Nr 94595,Tyskland,750 ml,9 % vol.,399:-
Albert Boxler,Nr 93348,Frankrike,750 ml,14 % vol.,355:-
Pernand-Vergelesses,Nr 93551,Frankrike,750 ml,13 % vol.,392:-
Château d'Aiguilhe,Nr 94702,Frankrike,750 ml,13 % vol.,359:-
Lotima Murella,Nr 39218,Sverige,750 ml,"12,5 % vol.",340:-
Lotima Terroir,Nr 39221,Sverige,750 ml,"12,5 % vol.",349:-
Old Vines from Patagonia,Nr 93744,Argentina,750 ml,"12,5 % vol.",399:-
Ego 6,Nr 36337,Sverige,750 ml,15 % vol.,300:-
Molino Real,Nr 95764,Spanien,500 ml,"13,5 % vol.",365:-
Pouilly-Fuissé Premier Cru Vers Cras,Nr 90613,Frankrike,750 ml,"13,5 % vol.",393:-
Volkacher Karthäuser Weisser Burgunder GG,Nr 92079,Tyskland,750 ml,"13,5 % vol.",399:-
Radikon Slatnik,Nr 90326,Italien,750 ml,"13,5 % vol.",349:-
Bomboly Furmint,Nr 91815,Ungern,750 ml,"14,5 % vol.",329:-
Mengoba Las Botas,Nr 93967,Spanien,750 ml,13 % vol.,359:-
Bodegas Valdesil,Nr 94236,Spanien,750 ml,"13,5 % vol.",319:-
Sandhi,Nr 90270,USA,750 ml,"12,8 % vol.",359:-
Alheit,Nr 90145,Sydafrika,750 ml,13 % vol.,319:-
Dr. Hermann,Nr 92548,Tyskland,750 ml,"7,5 % vol.",353:-
Santorini Assyrtiko,Nr 94462,Grekland,750 ml,14 % vol.,329:-
Birgit Eichinger,Nr 94498,Österrike,750 ml,"13,5 % vol.",309:-
Knipser Mandelpfad,Nr 94593,Tyskland,750 ml,13 % vol.,399:-
Weingut Keller,Nr 94713,Tyskland,750 ml,13 % vol.,369:-
Heymann-Löwenstein,Nr 94732,Tyskland,750 ml,"12,5 % vol.",329:-
Schloss Lieser,Nr 94794,Tyskland,750 ml,13 % vol.,395:-
Würzburger,Nr 92080,Tyskland,750 ml,"13,5 % vol.",399:-
Philipp Kuhn,Nr 94849,Tyskland,750 ml,"12,5 % vol.",364:-
Albamar 69 Arrobas,Nr 93334,Spanien,750 ml,13 % vol.,389:-
Würzburger Stein,Nr 96240,Tyskland,750 ml,"13,5 % vol.",359:-
Bodegas Albamar,Nr 92643,Spanien,750 ml,13 % vol.,359:-
Nosiola,Nr 92811,Italien,750 ml,"12,5 % vol.",359:-
Crystallum,Nr 93428,Sydafrika,750 ml,"13,5 % vol.",379:-
Crystallum,Nr 93431,Sydafrika,750 ml,"13,5 % vol.",379:-
Nerina,Nr 91106,Italien,750 ml,"13,5 % vol.",329:-
Strekov,Nr 94372,Slovakien,750 ml,"13,5 % vol.",344:-
Ben Ryé,Nr 54899,Italien,375 ml,"14,5 % vol.",316:-
Simonis,Nr 58606,Frankrike,750 ml,14 % vol.,349:-
Saint-Joseph Les Granilites,Nr 72586,Frankrike,750 ml,"14,5 % vol.",369:-
Domaine du Pas de l'Escalette,Nr 76455,Frankrike,750 ml,13 % vol.,359:-
1270 A Vuit Blanc,Nr 85019,Spanien,750 ml,"14,5 % vol.",352:-
Amphora,Nr 70810,Frankrike,750 ml,14 % vol.,329:-
Donna Grazia,Nr 75843,Italien,750 ml,"12,5 % vol.",329:-
Sattlerhof,Nr 79013,Österrike,750 ml,"12,5 % vol.",339:-
Loimer,Nr 78797,Österrike,750 ml,13 % vol.,399:-
Domaine de la Bolliattaz,Nr 51785,Schweiz,750 ml,"12,5 % vol.",319:-
Coccio,Nr 52377,Italien,750 ml,"12,5 % vol.",329:-
Lissner,Nr 52477,Frankrike,750 ml,"13,5 % vol.",379:-
Saint-Peray,Nr 52497,Frankrike,750 ml,"13,5 % vol.",319:-
Klumpp,Nr 76738,Tyskland,750 ml,12 % vol.,349:-
Karl Schaefer,Nr 71036,Tyskland,750 ml,"12,5 % vol.",316:-
Binner,Nr 76472,Frankrike,750 ml,15 % vol.,379:-
Lissner Wolxheim,Nr 73158,Frankrike,750 ml,14 % vol.,329:-
Lissner,Nr 71908,Frankrike,750 ml,16 % vol.,359:-
Luc Faller,Nr 78894,Frankrike,750 ml,13 % vol.,329:-
Luc Faller,Nr 76258,Frankrike,750 ml,"13,7 % vol.",329:-
Simonis,Nr 74108,Frankrike,750 ml,"13,5 % vol.",359:-
Domaine de Juchepie,Nr 53113,Frankrike,750 ml,14 % vol.,348:-
Zahel,Nr 53273,Österrike,750 ml,"12,5 % vol.",319:-
Sancerre Blanc Domaine Des Emois,Nr 79901,Frankrike,750 ml,13 % vol.,379:-
Lirac Blanc,Nr 75418,Frankrike,750 ml,"14,5 % vol.",319:-
Domain de l’enclos,Nr 72987,Frankrike,750 ml,"12,5 % vol.",399:-
Domaine Colombo,Nr 72066,Frankrike,750 ml,"13,5 % vol.",349:-
Rieslaner,Nr 58350,Tyskland,375 ml,7 % vol.,397:-
Simonis,Nr 58429,Frankrike,750 ml,"13,5 % vol.",349:-
La Creu,Nr 55741,Spanien,750 ml,"13,5 % vol.",349:-
Lissner,Nr 59495,Frankrike,750 ml,"13,5 % vol.",399:-
Heinrich,Nr 59719,Österrike,750 ml,"12,5 % vol.",349:-
Weingut am Stein,Nr 59850,Tyskland,750 ml,"12,5 % vol.",314:-
Weingut am Stein,Nr 59853,Tyskland,750 ml,13 % vol.,314:-
Cascina Corte,Nr 59998,Italien,750 ml,"13,5 % vol.",393:-
Pitt Nat,Nr 57578,Österrike,750 ml,12 % vol.,319:-
Weingut Bernhard Ott,Nr 58131,Österrike,750 ml,13 % vol.,389:-
Borgogno Era Ora,Nr 56286,Italien,750 ml,13 % vol.,309:-
Simonis,Nr 56294,Frankrike,750 ml,13 % vol.,349:-
Contrada Blandano,Nr 53637,Italien,750 ml,"13,5 % vol.",319:-
Sous Eguisons,Nr 53749,Frankrike,750 ml,"12,5 % vol.",339:-
Domaine de L'alliance,Nr 53764,Frankrike,750 ml,13 % vol.,345:-
Chateau Pictet-Lullin,Nr 54005,Schweiz,750 ml,"12,3 % vol.",307:-
Gustave Lorentz,Nr 72652,Frankrike,750 ml,14 % vol.,359:-
Gérard Bertrand,Nr 72530,Frankrike,750 ml,14 % vol.,359:-
Château Tirecul la Gravière,Nr 75642,Frankrike,500 ml,"12,5 % vol.",359:-
Augustus,Nr 79685,Spanien,750 ml,13 % vol.,339:-
