name,art_nr,country,volume,alc_vol,price
Chateau Musar,Nr 7463,Libanon,750 ml,14 % vol.,469:-
Zenato Amarone,Nr 32145,Italien,750 ml,"16,5 % vol.",500:-
Brunello di Montalcino Pianrosso,Nr 92064,Italien,750 ml,"14,5 % vol.",549:-
Black Stallion,Nr 72524,USA,1 500 ml,"14,5 % vol.",579:-
Casalforte,Nr 12379,Italien,1 500 ml,15 % vol.,499:-
Kirschgarten Spätburgunder,Nr 93635,Tyskland,750 ml,13 % vol.,499:-
Storm,Nr 92809,USA,750 ml,"13,5 % vol.",499:-
Protos 27,Nr 94362,Spanien,1 500 ml,15 % vol.,519:-
Barolo Bussia,Nr 93893,Italien,750 ml,"14,5 % vol.",599:-
Caparzo,Nr 92570,Italien,750 ml,14 % vol.,599:-
Sonoma-Hillsides Syrah,Nr 90173,USA,750 ml,"12,5 % vol.",599:-
Gran Faustino I,Nr 95214,Spanien,750 ml,"13,5 % vol.",499:-
Kutch,Nr 90429,USA,750 ml,13 % vol.,489:-
Chinon Clos de la Dioterie,Nr 93987,Frankrike,750 ml,"13,5 % vol.",569:-
Matallana,Nr 92483,Spanien,750 ml,"14,5 % vol.",495:-
Alberto Ballarin,Nr 94125,Italien,750 ml,14 % vol.,565:-
Barolo Bussia Cascina Dardi,Nr 94180,Italien,750 ml,14 % vol.,499:-
Clos Cantenac,Nr 92311,Frankrike,750 ml,"14,5 % vol.",499:-
Castello di Verduno,Nr 93026,Italien,750 ml,14 % vol.,525:-
Brancaia,Nr 93234,Italien,750 ml,"14,5 % vol.",521:-
Barolo Castellero,Nr 90653,Italien,750 ml,14 % vol.,499:-
Barolo Bussia,Nr 91159,Italien,750 ml,"14,5 % vol.",599:-
Remelluri Granja Remelluri Gran Reserva,Nr 92660,Spanien,750 ml,14 % vol.,595:-
Granato,Nr 92813,Italien,750 ml,13 % vol.,569:-
Frog's Leap,Nr 90132,USA,750 ml,"14,5 % vol.",579:-
Savigny-Les-Beaune,Nr 90615,Frankrike,750 ml,13 % vol.,499:-
Château Fieuzal,Nr 91317,Frankrike,750 ml,"14,5 % vol.",579:-
Barolo Bussia Cascina Dardi Riserva,Nr 94203,Italien,750 ml,14 % vol.,589:-
Mas la Plana,Nr 95052,Spanien,750 ml,"14,5 % vol.",542:-
Matthiasson,Nr 94792,USA,750 ml,13 % vol.,591:-
Barolo Brovia,Nr 91137,Italien,750 ml,"14,5 % vol.",540:-
Viña Pedrosa Gran Reserva,Nr 94774,Spanien,750 ml,"14,5 % vol.",483:-
Poggio Al Granchio,Nr 92661,Italien,750 ml,"14,5 % vol.",549:-
La Neblina,Nr 92821,USA,750 ml,"13,5 % vol.",529:-
Pernand-Vergelesses 1er Cru Fichots,Nr 91275,Frankrike,750 ml,"13,5 % vol.",479:-
Santenay 1er Cru Passetemps,Nr 91108,Frankrike,750 ml,"13,5 % vol.",519:-
Château Gloria,Nr 92074,Frankrike,750 ml,14 % vol.,599:-
Croix Canon,Nr 92110,Frankrike,750 ml,"14,5 % vol.",499:-
Valdaya Mirum,Nr 93493,Spanien,750 ml,"14,5 % vol.",499:-
