name,art_nr,country,volume,alc_vol,price
Fincas Valdemar,Nr 20073,Spanien,750 ml,14 % vol.,259:-
Armatura,Nr 50276,Italien,750 ml,"14,5 % vol.",259:-
Poliziano,Nr 92631,Italien,750 ml,"14,5 % vol.",259:-
Jean Vidérue,Nr 53014,Frankrike,750 ml,"14,5 % vol.",249:-
Amarone della Valpolicella,Nr 70635,Italien,750 ml,15 % vol.,249:-
Le Hurlevent,Nr 2291,Frankrike,750 ml,"15,5 % vol.",255:-
Finca el Puig,Nr 2737,Spanien,750 ml,"14,5 % vol.",269:-
Château Tour Seran,Nr 92363,Frankrike,750 ml,"14,5 % vol.",259:-
Black Stallion,Nr 2235,USA,750 ml,"14,5 % vol.",269:-
Mullineux,Nr 90153,Sydafrika,750 ml,13 % vol.,249:-
Arzuaga,Nr 1079,Spanien,750 ml,"14,5 % vol.",247:-
Seghesio,Nr 22562,USA,750 ml,15 % vol.,249:-
The Chocolate Block,Nr 2086,Sydafrika,750 ml,"14,5 % vol.",269:-
Mandrarossa Timperosse,Nr 71441,Italien,1 500 ml,"13,5 % vol.",259:-
Penfolds Bin 28,Nr 16320,Australien,750 ml,"14,5 % vol.",269:-
Protos 27,Nr 94362,Spanien,750 ml,15 % vol.,259:-
Langmeil,Nr 90127,Australien,750 ml,"14,5 % vol.",249:-
Ricossa,Nr 76367,Italien,750 ml,14 % vol.,249:-
Brunello di Montalcino,Nr 42302,Italien,750 ml,14 % vol.,269:-
Alpamanta,Nr 92273,Argentina,750 ml,"13,5 % vol.",249:-
Kamara,Nr 91107,Grekland,750 ml,13 % vol.,259:-
Barolo,Nr 53008,Italien,750 ml,"14,5 % vol.",249:-
Artífice Tinto,Nr 95302,Spanien,750 ml,"12,5 % vol.",251:-
Chocapalha,Nr 93307,Portugal,750 ml,"14,5 % vol.",249:-
Buena Vista,Nr 6380,USA,750 ml,"14,5 % vol.",259:-
Love you bunches,Nr 92515,USA,750 ml,"12,5 % vol.",249:-
Castell'in Villa,Nr 92296,Italien,750 ml,"13,5 % vol.",249:-
Rust en Vrede Estate Vineyards,Nr 90397,Sydafrika,750 ml,14 % vol.,249:-
Domaine d'Aupilhac,Nr 94202,Frankrike,750 ml,13 % vol.,269:-
Tout compt tout compte fait,Nr 90692,Frankrike,750 ml,11 % vol.,253:-
Wassmann,Nr 90328,Ungern,750 ml,"13,5 % vol.",247:-
Lamoresca,Nr 90170,Italien,750 ml,14 % vol.,269:-
Brunello di Montalcino,Nr 80413,Italien,750 ml,14 % vol.,249:-
Maximus,Nr 90072,Frankrike,750 ml,11 % vol.,265:-
Casa Emma,Nr 94337,Italien,750 ml,14 % vol.,245:-
Grande Cuvee,Nr 92619,Frankrike,750 ml,14 % vol.,249:-
Blackwater Sophie,Nr 92215,Sydafrika,750 ml,"13,5 % vol.",249:-
Château Fourcas-Borie,Nr 91125,Frankrike,750 ml,"14,5 % vol.",259:-
Barolo Cascina Rocca,Nr 2468,Italien,750 ml,"14,5 % vol.",259:-
Marta Maté,Nr 92600,Spanien,750 ml,14 % vol.,259:-
Finca de los Locos,Nr 95291,Spanien,750 ml,14 % vol.,269:-
Catherine Marshall,Nr 93212,Sydafrika,750 ml,"12,5 % vol.",269:-
A Minima Rouge Passetoutgrain,Nr 90614,Frankrike,750 ml,13 % vol.,249:-
Pacina,Nr 95261,Italien,750 ml,"13,5 % vol.",248:-
Amarone della Valpolicella,Nr 79000,Italien,750 ml,15 % vol.,259:-
Erba Salata,Nr 93647,Italien,750 ml,13 % vol.,248:-
Rosso di Montalcino,Nr 93990,Italien,750 ml,"14,5 % vol.",248:-
Crozes-Hermitage,Nr 78977,Frankrike,750 ml,"13,5 % vol.",259:-
MOULIN-À-VENT,Nr 93048,Frankrike,750 ml,15 % vol.,259:-
Frankie,Nr 93978,Slovakien,750 ml,"13,5 % vol.",269:-
Galil Alon,Nr 94306,Israel,750 ml,"14,5 % vol.",249:-
Franz Keller,Nr 94434,Tyskland,750 ml,13 % vol.,266:-
Åhus Vingård,Nr 39124,Sverige,750 ml,11 % vol.,267:-
Högberga,Nr 39910,EU,750 ml,14 % vol.,250:-
Högberga,Nr 39909,EU,750 ml,14 % vol.,250:-
Castello di Verduno,Nr 93627,Italien,750 ml,14 % vol.,242:-
P.S. Garcia,Nr 92562,Chile,750 ml,"12,5 % vol.",269:-
Rasteau Cuvée Confiance,Nr 91326,Frankrike,750 ml,"14,5 % vol.",249:-
Girard,Nr 22337,USA,750 ml,15 % vol.,249:-
Nizza,Nr 92077,Italien,750 ml,15 % vol.,246:-
Nizza,Nr 92077,Italien,750 ml,15 % vol.,246:-
MoyaMeaker,Nr 92209,Sydafrika,750 ml,13 % vol.,269:-
Högberga,Nr 38221,EU,750 ml,"13,5 % vol.",250:-
Åhus Vingård,Nr 38222,Sverige,750 ml,11 % vol.,264:-
Creation,Nr 94818,Sydafrika,750 ml,"13,5 % vol.",266:-
Château Bouscassé,Nr 95382,Frankrike,750 ml,"14,5 % vol.",249:-
Andrew Murray Vineyards,Nr 2496,USA,750 ml,15 % vol.,249:-
Nautilus,Nr 74762,Nya Zeeland,750 ml,13 % vol.,259:-
Soprasasso,Nr 2352,Italien,750 ml,15 % vol.,249:-
SCEG Aglianico del Vulture,Nr 77897,Italien,750 ml,"13,5 % vol.",249:-
Bardolino Goto,Nr 57435,Italien,750 ml,"11,5 % vol.",264:-
Tenuta Meraviglia,Nr 53782,Italien,750 ml,"13,5 % vol.",249:-
Pure Syrah,Nr 75165,Frankrike,750 ml,13 % vol.,256:-
Chianti,Nr 70755,Italien,750 ml,"14,5 % vol.",259:-
Palabres,Nr 75530,Frankrike,750 ml,13 % vol.,247:-
PAU,Nr 86339,Spanien,750 ml,"14,5 % vol.",246:-
Brancaia,Nr 50942,Italien,750 ml,"14,5 % vol.",249:-
Barbera d'Alba Zio Nando,Nr 51182,Italien,750 ml,15 % vol.,249:-
MasVin,Nr 51226,Kroatien,750 ml,"15,5 % vol.",259:-
MasVin,Nr 51227,Kroatien,750 ml,"14,5 % vol.",261:-
MasVin,Nr 51249,Kroatien,750 ml,"13,5 % vol.",261:-
Féraud,Nr 79961,Frankrike,750 ml,"14,5 % vol.",241:-
Langhe Nebbiolo,Nr 76153,Italien,750 ml,14 % vol.,269:-
Le Tende,Nr 70480,Italien,750 ml,13 % vol.,249:-
Château Pech-Latt,Nr 79455,Frankrike,750 ml,15 % vol.,249:-
Pittnauer,Nr 77108,Österrike,750 ml,"13,5 % vol.",265:-
Domaine La Monardiere,Nr 79495,Frankrike,750 ml,"14,5 % vol.",259:-
Barbera d'Alba,Nr 72973,Italien,750 ml,"14,5 % vol.",265:-
Son P,Nr 71632,Spanien,750 ml,13 % vol.,269:-
Salia,Nr 52985,Spanien,750 ml,"13,5 % vol.",247:-
Fabien Duveau,Nr 57771,Frankrike,750 ml,13 % vol.,269:-
Hajszan Neumann,Nr 57774,Österrike,750 ml,13 % vol.,249:-
Château Pech-Latt,Nr 57949,Frankrike,750 ml,14 % vol.,249:-
Domaine La Monardiere,Nr 79495,Frankrike,750 ml,"14,5 % vol.",259:-
Barbera d'Alba,Nr 72973,Italien,750 ml,"14,5 % vol.",265:-
Son P,Nr 71632,Spanien,750 ml,13 % vol.,269:-
Féraud,Nr 79961,Frankrike,750 ml,"14,5 % vol.",241:-
Langhe Nebbiolo,Nr 76153,Italien,750 ml,14 % vol.,269:-
PAU,Nr 86339,Spanien,750 ml,"14,5 % vol.",246:-
Pietrarizzo,Nr 2655,Italien,750 ml,"13,5 % vol.",249:-
Loxarel,Nr 55083,Spanien,750 ml,"14,5 % vol.",269:-
Augustus,Nr 55064,Spanien,750 ml,15 % vol.,249:-
Weingut Steintal,Nr 55614,Tyskland,750 ml,"12,5 % vol.",249:-
Klumpp Gipskeuper,Nr 55965,Tyskland,750 ml,13 % vol.,259:-
Vallado,Nr 56137,Portugal,750 ml,14 % vol.,259:-
Dreissigacker,Nr 56209,Tyskland,750 ml,"13,5 % vol.",269:-
La Baronne,Nr 56355,Frankrike,750 ml,14 % vol.,257:-
Chateau Jean Faux,Nr 56485,Frankrike,750 ml,"13,5 % vol.",269:-
Brancaia,Nr 50942,Italien,750 ml,"14,5 % vol.",249:-
Barbera d'Alba Zio Nando,Nr 51182,Italien,750 ml,15 % vol.,249:-
MasVin,Nr 51226,Kroatien,750 ml,"15,5 % vol.",259:-
MasVin,Nr 51227,Kroatien,750 ml,"14,5 % vol.",261:-
MasVin,Nr 51249,Kroatien,750 ml,"13,5 % vol.",261:-
Il Mortellito,Nr 57284,Italien,750 ml,13 % vol.,248:-
Montirius,Nr 54121,Frankrike,750 ml,14 % vol.,250:-
Domaine Biblia Chora,Nr 81006,Grekland,750 ml,14 % vol.,249:-
Sankt Laurent,Nr 70845,Österrike,750 ml,"12,5 % vol.",269:-
Ser Alfiero,Nr 70353,Italien,750 ml,"13,5 % vol.",257:-
Clos de Lolol,Nr 76261,Chile,750 ml,14 % vol.,249:-
Le Tende,Nr 70480,Italien,750 ml,13 % vol.,249:-
Château Pech-Latt,Nr 79455,Frankrike,750 ml,15 % vol.,249:-
Pittnauer,Nr 77108,Österrike,750 ml,"13,5 % vol.",265:-
Palabres,Nr 75530,Frankrike,750 ml,13 % vol.,247:-
Chianti,Nr 70755,Italien,750 ml,"14,5 % vol.",259:-
Pure Syrah,Nr 75165,Frankrike,750 ml,13 % vol.,256:-
Ad Astra,Nr 70231,Italien,750 ml,14 % vol.,245:-
JAKI,Nr 76041,Italien,750 ml,14 % vol.,251:-
Le Bouquet des Garrigues,Nr 90299,Frankrike,750 ml,"14,5 % vol.",249:-
Carandelle,Nr 72514,Italien,750 ml,13 % vol.,259:-
Respiro,Nr 73392,Italien,750 ml,"13,5 % vol.",266:-
Podere72,Nr 71722,Italien,750 ml,"14,5 % vol.",259:-
Le Bertarole,Nr 74326,Italien,750 ml,14 % vol.,244:-
Pure,Nr 73921,Frankrike,750 ml,12 % vol.,240:-
Musella,Nr 78094,Italien,750 ml,14 % vol.,249:-
Corucho,Nr 79389,Spanien,750 ml,15 % vol.,260:-
Jérôme Arnoux,Nr 55876,Frankrike,750 ml,13 % vol.,269:-
Château Charmail,Nr 2843,Frankrike,750 ml,"14,5 % vol.",269:-
Masi Costasera,Nr 2345,Italien,375 ml,15 % vol.,249:-
Châteauneuf-du-Pape,Nr 75177,Frankrike,750 ml,15 % vol.,249:-
Vietti,Nr 79331,Italien,750 ml,14 % vol.,259:-
Xavier Vignon,Nr 51634,Frankrike,750 ml,15 % vol.,249:-
Xavier Vignon,Nr 51636,Frankrike,750 ml,15 % vol.,269:-
Vine & Co,Nr 93960,Sydafrika,750 ml,12 % vol.,259:-
Fattoria Moretto,Nr 94232,Italien,750 ml,12 % vol.,249:-
Vazisubani,Nr 50036,Georgien,750 ml,"13,5 % vol.",249:-
Lynx,Nr 59948,USA,750 ml,"14,5 % vol.",249:-
Tokara,Nr 57364,Sydafrika,750 ml,14 % vol.,249:-
Conestabile della Staffa,Nr 57419,Italien,750 ml,13 % vol.,249:-
Saint-Amour,Nr 92856,Frankrike,750 ml,13 % vol.,259:-
Golden West,Nr 72276,USA,750 ml,"13,5 % vol.",249:-
Marques de Riscal,Nr 76885,Spanien,750 ml,"14,5 % vol.",269:-
r Rabiega,Nr 70205,Frankrike,750 ml,"13,5 % vol.",249:-
Mildiani,Nr 50371,Georgien,750 ml,12 % vol.,249:-
Torre d'Orti,Nr 51442,Italien,750 ml,"14,5 % vol.",244:-
Vasse Felix,Nr 54113,Australien,750 ml,14 % vol.,249:-
Paolo Scavino,Nr 71901,Italien,750 ml,14 % vol.,259:-
Chianti Colli Senesi,Nr 73012,Italien,750 ml,"14,5 % vol.",257:-
Catherine Marshall,Nr 75478,Sydafrika,750 ml,"13,5 % vol.",260:-
BelColle,Nr 70878,Italien,750 ml,14 % vol.,259:-
Prinsiòt Langhe Nebbiolo,Nr 78039,Italien,750 ml,14 % vol.,259:-
Le Fonti,Nr 70543,Italien,750 ml,15 % vol.,247:-
Tenuta Frescobaldi di Castiglioni,Nr 72834,Italien,750 ml,14 % vol.,249:-
Saint-Joseph,Nr 76656,Frankrike,750 ml,14 % vol.,269:-
Langhe Nebbiolo,Nr 71891,Italien,750 ml,14 % vol.,249:-
Camp Riond,Nr 51800,Italien,750 ml,15 % vol.,249:-
Puech Noble Rouge,Nr 51005,Frankrike,750 ml,13 % vol.,269:-
Vaskapu,Nr 51543,Ungern,750 ml,12 % vol.,259:-
Hervé Villemade,Nr 52806,Frankrike,750 ml,"11,5 % vol.",269:-
Protos,Nr 71443,Spanien,750 ml,"14,5 % vol.",249:-
Château Haut-Baradieu,Nr 53725,Frankrike,750 ml,14 % vol.,269:-
La Minée,Nr 52274,Frankrike,750 ml,13 % vol.,249:-
Vini Conestabile della Staffa,Nr 52637,Italien,750 ml,13 % vol.,265:-
Domaine Gassier,Nr 51830,Frankrike,750 ml,"14,5 % vol.",249:-
J. Hofstätter,Nr 56291,Italien,750 ml,13 % vol.,249:-
Clos Pachem,Nr 51263,Spanien,750 ml,14 % vol.,240:-
Cien Lanzas Cenicientos,Nr 52232,Spanien,750 ml,"14,5 % vol.",259:-
Montepirolo,Nr 75023,Italien,750 ml,"14,5 % vol.",241:-
Cabernet Franc,Nr 54299,Ungern,750 ml,"14,5 % vol.",260:-
Lionel Manigand,Nr 54044,Frankrike,750 ml,14 % vol.,264:-
Suertes del Marqués La Solana,Nr 52106,Spanien,750 ml,"12,5 % vol.",249:-
Boschendal,Nr 55636,Sydafrika,750 ml,14 % vol.,249:-
Tenuta il Falchetto,Nr 52037,Italien,750 ml,13 % vol.,249:-
Barbera d´Alba Superiore,Nr 56886,Italien,750 ml,15 % vol.,251:-
BelColle,Nr 56522,Italien,750 ml,13 % vol.,259:-
Fabio Ferracane,Nr 56160,Italien,750 ml,14 % vol.,269:-
Roc de l'Abbaye,Nr 54152,Frankrike,750 ml,13 % vol.,259:-
Lazzeretti,Nr 57006,Italien,750 ml,14 % vol.,240:-
Maison Orcia Vacqueyras,Nr 50230,Frankrike,750 ml,"14,5 % vol.",269:-
Anza,Nr 52307,Spanien,750 ml,"13,5 % vol.",259:-
Panorámico,Nr 59121,Spanien,750 ml,"13,5 % vol.",249:-
Arbois Poulsard En Geillon,Nr 59136,Frankrike,750 ml,13 % vol.,249:-
Cannonau de Sardegna Sole Minoi,Nr 59225,Italien,750 ml,14 % vol.,249:-
Bodegas Briego,Nr 59362,Spanien,750 ml,"14,5 % vol.",245:-
La Torre,Nr 59461,Italien,750 ml,13 % vol.,247:-
Chateau Bonnange,Nr 59480,Frankrike,750 ml,"14,5 % vol.",249:-
Domaine de Font-Sane,Nr 59483,Frankrike,750 ml,15 % vol.,247:-
Kung Fu,Nr 59629,Argentina,750 ml,"12,5 % vol.",249:-
Modra Frankinija,Nr 55829,Slovenien,750 ml,11 % vol.,256:-
Ziniel x Peltzer,Nr 51610,Österrike,750 ml,13 % vol.,259:-
Weingut am Schlipf Schneider,Nr 51458,Tyskland,750 ml,"12,5 % vol.",249:-
Le Vin de Jardin,Nr 53774,Frankrike,750 ml,"11,5 % vol.",259:-
Camino,Nr 58379,Chile,750 ml,13 % vol.,249:-
Murganheira,Nr 54319,Portugal,750 ml,15 % vol.,262:-
Château Coucheroy,Nr 53994,Frankrike,750 ml,14 % vol.,249:-
Viña Salceda,Nr 53013,Spanien,750 ml,"13,5 % vol.",249:-
Margan,Nr 51879,Australien,750 ml,"13,5 % vol.",249:-
La Gerla,Nr 57517,Italien,750 ml,14 % vol.,249:-
Rosso Conestabile,Nr 51253,Italien,750 ml,12 % vol.,269:-
Château Tour Haut Vignoble,Nr 56354,Frankrike,750 ml,"13,5 % vol.",269:-
La Capilla,Nr 58677,Spanien,750 ml,15 % vol.,269:-
Môreson,Nr 51899,Sydafrika,750 ml,15 % vol.,269:-
Marrone,Nr 52039,Italien,750 ml,14 % vol.,249:-
Status,Nr 52061,Montenegro,750 ml,14 % vol.,260:-
Plantaze,Nr 52064,Montenegro,750 ml,14 % vol.,260:-
Moretta Wines Ceniciento,Nr 52229,Chile,750 ml,14 % vol.,249:-
Op Eximium,Nr 52289,Österrike,750 ml,"13,5 % vol.",259:-
Villa Job,Nr 52414,Italien,750 ml,13 % vol.,256:-
Spinifex,Nr 52605,Australien,750 ml,"13,5 % vol.",249:-
Sassoalloro,Nr 52767,Italien,750 ml,14 % vol.,249:-
Quinta Milú,Nr 53012,Spanien,750 ml,"13,5 % vol.",256:-
Homonna,Nr 58532,Ungern,1 000 ml,"13,5 % vol.",247:-
Villa Mangiacane,Nr 52365,Italien,750 ml,"14,5 % vol.",244:-
Villa Mangiacane,Nr 52270,Italien,750 ml,"14,5 % vol.",259:-
La Bonnarda,Nr 53670,Italien,750 ml,"13,5 % vol.",261:-
La Vignée,Nr 5421,Frankrike,750 ml,"12,5 % vol.",249:-
Savoia Americano,Nr 58759,Italien,500 ml,"18,6 % vol.",259:-
4Kilos 12 Volts,Nr 58788,Spanien,750 ml,12 % vol.,269:-
Karim Vionnet,Nr 58927,Frankrike,750 ml,12 % vol.,250:-
La Petite Odyssee,Nr 58929,Frankrike,750 ml,"13,5 % vol.",243:-
Versio,Nr 59758,Italien,750 ml,"14,5 % vol.",249:-
Fog & Light,Nr 59815,USA,750 ml,"13,5 % vol.",249:-
Fog & Light,Nr 59816,USA,750 ml,"13,5 % vol.",249:-
Ingrosso,Nr 59820,Italien,750 ml,15 % vol.,259:-
Ca'Viola,Nr 59918,Italien,750 ml,"14,5 % vol.",259:-
Puig Ambeille,Nr 58202,Frankrike,750 ml,"14,5 % vol.",247:-
Monte Faustino,Nr 58353,Italien,750 ml,15 % vol.,247:-
Sanavardo,Nr 58355,Georgien,750 ml,13 % vol.,249:-
Babylonstoren,Nr 58362,Sydafrika,750 ml,14 % vol.,269:-
Pujanza,Nr 58410,Spanien,750 ml,"13,5 % vol.",259:-
