name,art_nr,country,volume,alc_vol,price
Amarone della Valpolicella,Nr 74208,Italien,750 ml,15 % vol.,199:-
Gérard Bertrand Château L'Hospitalet,Nr 73142,Frankrike,750 ml,15 % vol.,195:-
La Bastide Blanche,Nr 2262,Frankrike,750 ml,"14,5 % vol.",199:-
Amarone della Valpolicella,Nr 2740,Italien,750 ml,15 % vol.,199:-
Borgogno,Nr 74201,Italien,750 ml,"14,5 % vol.",199:-
Boschendal,Nr 95259,Sydafrika,750 ml,14 % vol.,209:-
Pike Road Willamette Valley,Nr 90635,USA,750 ml,"13,5 % vol.",199:-
Jérôme Arnoux,Nr 52533,Frankrike,750 ml,"12,5 % vol.",199:-
Taurasi,Nr 2236,Italien,750 ml,14 % vol.,199:-
B-Qa de Marsyas,Nr 91902,Libanon,750 ml,"14,5 % vol.",209:-
Zengarello,Nr 73059,Italien,750 ml,14 % vol.,199:-
Delas Les Launes,Nr 2800,Frankrike,750 ml,13 % vol.,209:-
Longridge Wine,Nr 92108,Sydafrika,750 ml,"14,5 % vol.",209:-
Navaherreros,Nr 92038,Spanien,750 ml,"14,5 % vol.",199:-
Substance,Nr 74083,USA,750 ml,"14,5 % vol.",199:-
Gimenez Mendez,Nr 94141,Uruguay,750 ml,14 % vol.,199:-
Villa Belvedere,Nr 72178,Italien,750 ml,15 % vol.,199:-
Domaine de la Janasse,Nr 90196,Frankrike,750 ml,14 % vol.,199:-
Les Hauts de Granget,Nr 3814,Frankrike,750 ml,14 % vol.,199:-
Langhe Nebbiolo,Nr 92599,Italien,750 ml,"14,5 % vol.",199:-
Dorli Muhr,Nr 92794,Österrike,750 ml,12 % vol.,199:-
Luna di Mezzanotte,Nr 53288,Italien,750 ml,14 % vol.,199:-
Faustino I,Nr 2678,Spanien,750 ml,"13,5 % vol.",199:-
Avondale Genus,Nr 2909,Sydafrika,750 ml,14 % vol.,199:-
Langhe,Nr 7306,Italien,750 ml,"14,5 % vol.",199:-
Casalforte,Nr 12379,Italien,750 ml,15 % vol.,199:-
Dolcetto d'Alba,Nr 94120,Italien,750 ml,13 % vol.,209:-
Heartland,Nr 95897,Australien,750 ml,"14,5 % vol.",199:-
Red Newt Cellars,Nr 9017,USA,750 ml,"12,5 % vol.",199:-
Lindes de Remelluri,Nr 92421,Spanien,750 ml,14 % vol.,199:-
Blaufränkisch vom Kalk,Nr 92259,Österrike,750 ml,"12,5 % vol.",199:-
Flechas de los Andes,Nr 95820,Argentina,750 ml,"14,5 % vol.",199:-
Chianti Classico,Nr 90149,Italien,750 ml,"13,5 % vol.",209:-
Bourgogne,Nr 5470,Frankrike,750 ml,"12,5 % vol.",199:-
Common People,Nr 34519,EU,750 ml,"14,5 % vol.",195:-
Colline Novaresi Vespolina,Nr 93007,Italien,750 ml,"13,5 % vol.",199:-
Morros,Nr 94075,Chile,750 ml,"12,5 % vol.",199:-
Morgon Corcelette,Nr 91320,Frankrike,750 ml,"12,5 % vol.",199:-
Chinon Les Barnabés,Nr 92907,Frankrike,750 ml,"12,5 % vol.",199:-
Gilda,Nr 92584,Portugal,750 ml,"13,5 % vol.",199:-
P.F. Bobal,Nr 95290,Spanien,750 ml,13 % vol.,199:-
Rovero,Nr 95503,Italien,750 ml,"14,5 % vol.",205:-
Domaine du Pesquier,Nr 2836,Frankrike,750 ml,15 % vol.,199:-
Dandelion Vineyards,Nr 95881,Australien,750 ml,"14,5 % vol.",209:-
Chinon Gabare,Nr 90612,Frankrike,750 ml,"12,5 % vol.",199:-
Wassmann,Nr 95191,Ungern,750 ml,13 % vol.,199:-
Fattoria Poggerino,Nr 93326,Italien,750 ml,"13,5 % vol.",207:-
Château du Cauze,Nr 2491,Frankrike,750 ml,"14,5 % vol.",199:-
Newton Johnson,Nr 95109,Sydafrika,750 ml,"13,5 % vol.",209:-
Scarpa,Nr 92580,Italien,750 ml,"13,5 % vol.",199:-
Maupiti,Nr 92668,Frankrike,750 ml,13 % vol.,199:-
Amayna,Nr 95176,Chile,750 ml,14 % vol.,199:-
Las Cañas,Nr 92552,Spanien,750 ml,"12,5 % vol.",197:-
Château la Reyne,Nr 95994,Frankrike,750 ml,"13,5 % vol.",198:-
Château d'Anglès,Nr 93392,Frankrike,750 ml,"14,5 % vol.",198:-
Gigondas,Nr 93082,Frankrike,750 ml,14 % vol.,208:-
Cuvee Sextant,Nr 95538,Frankrike,750 ml,"14,5 % vol.",198:-
Tapiz,Nr 91213,Argentina,750 ml,"14,5 % vol.",198:-
Dandelion Vineyards,Nr 94234,Australien,750 ml,"14,5 % vol.",197:-
Capo di Terra,Nr 90301,Italien,750 ml,"12,5 % vol.",196:-
Wine & Co Dry Land Red,Nr 95654,Sydafrika,750 ml,"13,5 % vol.",199:-
Capo di Terra,Nr 90301,Italien,750 ml,"12,5 % vol.",196:-
Colomé,Nr 93495,Argentina,750 ml,"14,5 % vol.",191:-
Högberga,Nr 36563,EU,750 ml,"13,5 % vol.",200:-
Arcane La Tempérance Cairanne Organic,Nr 57106,Frankrike,750 ml,15 % vol.,209:-
Orenga de Gaffory,Nr 56076,Frankrike,750 ml,"13,5 % vol.",198:-
Gustave Lorentz,Nr 71970,Frankrike,750 ml,"13,5 % vol.",199:-
Métairie d’Alon,Nr 73278,Frankrike,750 ml,"13,5 % vol.",209:-
Domaine de Verquière,Nr 2179,Frankrike,750 ml,"14,5 % vol.",199:-
Côtes-du-Rhône-Villages,Nr 73549,Frankrike,750 ml,"14,5 % vol.",209:-
Las Ocho,Nr 75050,Spanien,750 ml,14 % vol.,199:-
Batést,Nr 75628,Italien,750 ml,"14,5 % vol.",206:-
Le Tende,Nr 75482,Italien,750 ml,"13,5 % vol.",190:-
Chianti Colli Senesi,Nr 50722,Italien,750 ml,"13,5 % vol.",208:-
Château Juvenal,Nr 51456,Frankrike,750 ml,15 % vol.,199:-
Querciabella Mongrana,Nr 70645,Italien,750 ml,14 % vol.,209:-
M. Chapoutier,Nr 74168,Frankrike,750 ml,"14,5 % vol.",199:-
L'Aura,Nr 76442,Italien,750 ml,"13,5 % vol.",198:-
Ca`Bianca,Nr 76908,Italien,750 ml,"13,5 % vol.",198:-
Red Bat,Nr 70542,Spanien,750 ml,"14,5 % vol.",190:-
CARM,Nr 74848,Portugal,750 ml,"14,5 % vol.",209:-
De Angelis,Nr 74758,Italien,750 ml,13 % vol.,197:-
Faula,Nr 70834,Spanien,750 ml,"14,5 % vol.",193:-
Spätburgunder,Nr 77892,Tyskland,750 ml,13 % vol.,208:-
Chianti Classico,Nr 53035,Italien,750 ml,"13,5 % vol.",198:-
Rignana,Nr 53312,Italien,750 ml,"14,5 % vol.",199:-
Brancaia,Nr 70725,Italien,750 ml,14 % vol.,200:-
