name,art_nr,country,volume,alc_vol,price
Petit Chablis,Nr 5585,Frankrike,750 ml,"12,5 % vol.",173:-
Petit Chablis Domaine Sainte Claire,Nr 5588,Frankrike,750 ml,"12,5 % vol.",175:-
L Chablis,Nr 79925,Frankrike,750 ml,12 % vol.,175:-
Haardt,Nr 91250,Tyskland,750 ml,"12,5 % vol.",199:-
Patriarche Chablis,Nr 5383,Frankrike,750 ml,"12,5 % vol.",189:-
Trimbach,Nr 2639,Frankrike,750 ml,13 % vol.,179:-
DeAetna,Nr 92574,Italien,750 ml,"13,5 % vol.",179:-
Baron de Ley,Nr 90505,Spanien,750 ml,"12,5 % vol.",179:-
Le Marigny,Nr 92090,Frankrike,750 ml,"13,5 % vol.",179:-
Chablis Sainte Claire,Nr 5565,Frankrike,750 ml,"12,5 % vol.",189:-
Ruffino,Nr 8119,Italien,375 ml,"15,5 % vol.",189:-
G de Château Guiraud,Nr 90588,Frankrike,750 ml,13 % vol.,199:-
Pichl Point Grüner Veltliner Federspiel,Nr 95521,Österrike,750 ml,"12,5 % vol.",199:-
Siefersheim,Nr 96035,Tyskland,750 ml,"12,5 % vol.",199:-
Valados de Melgaço,Nr 95016,Portugal,750 ml,"13,5 % vol.",189:-
Lammershoek Mysteries,Nr 91272,Sydafrika,750 ml,13 % vol.,199:-
Sancerre,Nr 2259,Frankrike,750 ml,"12,5 % vol.",199:-
Bourgogne Aligoté,Nr 5500,Frankrike,750 ml,"12,5 % vol.",179:-
Stark-Condé,Nr 90177,Sydafrika,750 ml,"13,5 % vol.",179:-
St Stephan's Crown,Nr 12905,Ungern,500 ml,12 % vol.,189:-
Joachim Flick,Nr 20047,Tyskland,750 ml,"12,5 % vol.",198:-
Bourgogne Les Murelles,Nr 5837,Frankrike,750 ml,13 % vol.,179:-
Chablis Le Finage,Nr 70631,Frankrike,750 ml,"12,5 % vol.",189:-
Stein am Rain,Nr 90163,Österrike,750 ml,"12,5 % vol.",189:-
Tesch,Nr 95154,Tyskland,750 ml,13 % vol.,199:-
Peter & Paul,Nr 92241,Österrike,750 ml,"10,5 % vol.",179:-
