name,art_nr,country,volume,alc_vol,price
Massolino Barolo,Nr 92391,Italien,750 ml,14 % vol.,379:-
Château Fleur Pourret,Nr 92185,Frankrike,750 ml,13 % vol.,399:-
Châteauneuf-du-Pape Les Cailloux,Nr 79121,Frankrike,750 ml,14 % vol.,389:-
Château Belgrave,Nr 3925,Frankrike,750 ml,"13,5 % vol.",399:-
Louis M Martini,Nr 6723,USA,750 ml,15 % vol.,399:-
Savigny-lès-Beaune Les Lavières,Nr 2594,Frankrike,750 ml,"13,5 % vol.",399:-
Diamine,Nr 92415,Italien,2 000 ml,12 % vol.,429:-
Marimar Estate,Nr 74480,USA,750 ml,"13,5 % vol.",429:-
Domaine Santa Duc,Nr 92084,Frankrike,750 ml,14 % vol.,449:-
Marsannay Rouge,Nr 91287,Frankrike,750 ml,"13,5 % vol.",399:-
Château Chasse-Spleen,Nr 90376,Frankrike,750 ml,"13,5 % vol.",373:-
Le Petit Ducru de Ducru-Beaucaillou,Nr 92041,Frankrike,750 ml,"14,5 % vol.",399:-
Castello di Verduno,Nr 93008,Italien,750 ml,14 % vol.,399:-
Brunello di Montalcino,Nr 95184,Italien,750 ml,"14,5 % vol.",399:-
Göteborg 400 år typ,Nr 39514,EU,750 ml,14 % vol.,399:-
Racines de Ciel,Nr 95268,Kanada,750 ml,"11,5 % vol.",399:-
Brunello di Montalcino,Nr 95673,Italien,750 ml,"14,5 % vol.",422:-
Schubert Marion’s Vineyard,Nr 92782,Nya Zeeland,750 ml,14 % vol.,399:-
Châteuneuf-du-Pape Pie VI,Nr 93041,Frankrike,750 ml,15 % vol.,449:-
Le Puy,Nr 93125,Frankrike,750 ml,13 % vol.,389:-
JIm Barry,Nr 92292,Australien,750 ml,14 % vol.,395:-
Clonakilla,Nr 93357,Australien,750 ml,13 % vol.,401:-
Domaine de Beaurenard,Nr 90154,Frankrike,750 ml,15 % vol.,379:-
A Lisa,Nr 92497,Argentina,1 500 ml,"13,5 % vol.",449:-
Greystone Vineyard,Nr 92488,Nya Zeeland,750 ml,"13,5 % vol.",399:-
Gran Clos,Nr 93124,Spanien,750 ml,15 % vol.,389:-
