name,art_nr,country,volume,alc_vol,price
Moët & Chandon,Nr 7598,Frankrike,750 ml,12 % vol.,579:-
Moët & Chandon,Nr 7518,Frankrike,750 ml,12 % vol.,519:-
Pol Roger,Nr 7549,Frankrike,750 ml,"12,5 % vol.",545:-
Taittinger,Nr 7422,Frankrike,750 ml,"12,5 % vol.",499:-
Bollinger,Nr 7418,Frankrike,750 ml,12 % vol.,599:-
Veuve Clicquot,Nr 7424,Frankrike,750 ml,12 % vol.,539:-
Roland Champion,Nr 90479,Frankrike,750 ml,"12,5 % vol.",529:-
Palmer & Co,Nr 7867,Frankrike,750 ml,12 % vol.,449:-
Bonnet,Nr 7471,Frankrike,750 ml,"12,5 % vol.",409:-
Deutz,Nr 7487,Frankrike,750 ml,12 % vol.,539:-
Palmer,Nr 7553,Frankrike,750 ml,12 % vol.,429:-
André Clouet,Nr 77253,Frankrike,750 ml,12 % vol.,429:-
Charles Heidsieck,Nr 77522,Frankrike,750 ml,12 % vol.,539:-
Louis Roederer,Nr 7602,Frankrike,750 ml,12 % vol.,559:-
Champagne Taittinger,Nr 7941,Frankrike,750 ml,"12,5 % vol.",499:-
Diebolt-Vallois,Nr 7723,Frankrike,750 ml,"12,5 % vol.",489:-
Pierre Peters,Nr 7350,Frankrike,750 ml,12 % vol.,439:-
Champagne Vieille France,Nr 2054,Frankrike,750 ml,12 % vol.,479:-
Mesnil Experience,Nr 92283,Frankrike,750 ml,12 % vol.,499:-
André Clouet,Nr 94199,Frankrike,750 ml,12 % vol.,499:-
Serral del Vell,Nr 92375,Spanien,750 ml,"12,5 % vol.",451:-
Gosset,Nr 7405,Frankrike,750 ml,12 % vol.,559:-
Harrow & Hope,Nr 95112,Storbritannien,750 ml,12 % vol.,444:-
Busi Jacobsohn,Nr 90325,Storbritannien,750 ml,12 % vol.,569:-
Leclerc Briant,Nr 7583,Frankrike,750 ml,12 % vol.,539:-
Blanc de Noirs,Nr 92874,Frankrike,750 ml,12 % vol.,469:-
Gilbert,Nr 94130,Australien,750 ml,"12,2 % vol.",489:-
Longitude Premier Cru Blanc de blancs,Nr 91313,Frankrike,750 ml,"12,5 % vol.",589:-
Hervé Dubois,Nr 92756,Frankrike,750 ml,12 % vol.,499:-
Egly-Ouriet,Nr 94400,Frankrike,750 ml,"12,5 % vol.",549:-
Mailly,Nr 94721,Frankrike,750 ml,12 % vol.,591:-
Lanson,Nr 56382,Frankrike,750 ml,"12,5 % vol.",570:-
Sans Année,Nr 94074,Frankrike,750 ml,12 % vol.,429:-
Raventós i Blanc,Nr 90291,Spanien,750 ml,"11,5 % vol.",599:-
Sånana Sparkling,Nr 36936,Sverige,750 ml,"11,5 % vol.",439:-
Hambledon,Nr 90444,Storbritannien,750 ml,12 % vol.,599:-
Franck Bonville,Nr 90109,Frankrike,750 ml,"12,5 % vol.",499:-
Philipponnat,Nr 90352,Frankrike,750 ml,"12,5 % vol.",459:-
Charles Mignon,Nr 90272,Frankrike,750 ml,"12,5 % vol.",452:-
Moët & Chandon,Nr 92991,Frankrike,750 ml,"12,5 % vol.",599:-
Gremillet,Nr 72831,Frankrike,750 ml,"12,5 % vol.",439:-
Champagne de Saint-Gall,Nr 7948,Frankrike,750 ml,"12,5 % vol.",429:-
Albert de Vilarnau,Nr 50583,Spanien,750 ml,12 % vol.,459:-
Guldkula Green,Nr 76418,Frankrike,750 ml,"12,5 % vol.",499:-
Gurrieri,Nr 50834,Italien,750 ml,"12,5 % vol.",419:-
Robert Barbichon,Nr 78891,Frankrike,750 ml,12 % vol.,499:-
Robert Barbichon,Nr 73132,Frankrike,750 ml,12 % vol.,479:-
Robert Barbichon,Nr 78803,Frankrike,750 ml,12 % vol.,479:-
Leclerc Briant,Nr 57089,Frankrike,750 ml,12 % vol.,599:-
Gurrieri,Nr 59013,Italien,750 ml,"12,5 % vol.",429:-
Gramona,Nr 56166,Spanien,1 500 ml,12 % vol.,525:-
Recaredo,Nr 56481,Spanien,750 ml,"11,5 % vol.",499:-
André Clouet,Nr 54533,Frankrike,750 ml,12 % vol.,479:-
Pommery Apanage,Nr 75319,Frankrike,750 ml,"12,5 % vol.",529:-
Duménil Brut Millésimé,Nr 7522,Frankrike,750 ml,12 % vol.,439:-
Nyetimber,Nr 96018,Storbritannien,750 ml,12 % vol.,479:-
Mariefred Champagne,Nr 50685,Frankrike,750 ml,12 % vol.,419:-
Jean-François Launay,Nr 57356,Frankrike,750 ml,12 % vol.,449:-
Palmer,Nr 75799,Frankrike,750 ml,12 % vol.,529:-
Guy de Chassey,Nr 77463,Frankrike,750 ml,12 % vol.,499:-
West Seafoam,Nr 77703,USA,750 ml,12 % vol.,434:-
Pertois-Lebrun,Nr 77884,Frankrike,750 ml,12 % vol.,428:-
