idx,ID,Name,Country,Volume,Alcohol,Price
89,Nr 2773,Briccotondo,Italien,750 ml,"13,5 %",101:-
90,Nr 50335,Blängvin,Italien,750 ml,13 %,91:-
91,Nr 6998,Masi Bonacosta,Italien,750 ml,12 %,121:-
92,Nr 6260,Brachetto d´Acqui,Italien,375 ml,"5,5 %",100:-
93,Nr 75630,Castelmare,Italien,750 ml,"13,5 %",101:-
94,Nr 12324,Zenato,Italien,750 ml,14 %,211:-
95,Nr 70769,Bevanti,Italien,750 ml,"13,5 %",101:-
96,Nr 6998,Masi Bonacosta,Italien,375 ml,12 %,70:-
97,Nr 76560,Barolo,Italien,750 ml,"14,5 %",211:-
98,Nr 78484,Lunadoro,Italien,750 ml,14 %,211:-
99,Nr 2680,Manifesto,Italien,750 ml,"13,5 %",81:-
100,Nr 52915,150+1 Barbera,Italien,750 ml,"13,5 %",101:-
101,Nr 5352,Casalforte,Italien,1500 ml,"13,5 %",222:-
102,Nr 2300,Villa Antinori,Italien,750 ml,"13,5 %",161:-
103,Nr 90219,La Spinetta,Italien,750 ml,14 %,231:-
104,Nr 73766,Marastoni,Italien,750 ml,"12,5 %",81:-
105,Nr 92565,Valiano,Italien,750 ml,14 %,151:-
106,Nr 92623,Carusu,Italien,750 ml,"14,5 %",161:-
107,Nr 2310,Ruffino,Italien,375 ml,"12,5 %",60:-
108,Nr 74201,Borgogno,Italien,750 ml,"14,5 %",201:-
109,Nr 74189,Zecci,Italien,750 ml,"13,5 %",141:-
110,Nr 5411,Mezzacorona Pinot Nero,Italien,750 ml,13 %,101:-
111,Nr 2817,Rendola,Italien,750 ml,"13,5 %",111:-*
112,Nr 70227,Barolo Fontanafredda,Italien,750 ml,14 %,211:-
113,Nr 75707,Castelmare,Italien,750 ml,15 %,181:-
114,Nr 12363,Ca' Montini,Italien,750 ml,15 %,291:-
115,Nr 81603,Vinistella,Italien,750 ml,14 %,91:-
116,Nr 95424,Montessu,Italien,750 ml,"14,5 %",169:-
117,Nr 2723,Rocca Guicciarda,Italien,750 ml,"13,5 %",161:-
118,Nr 5123,Masi Campofiorin,Italien,375 ml,13 %,80:-
119,Nr 2014,Cala Civetta,Italien,750 ml,"13,5 %",121:-
120,Nr 74543,Riunite Lambrusco Farfalle,Italien,750 ml,"7,5 %",89:-
121,Nr 12385,Zenato,Italien,750 ml,"13,5 %",141:-
