snapdate,name,art_nr,country,volume,alc_vol,price,type
2023-09-08,GW :s Bubbel,78196,France,750.0,12,115,Mousserande
2023-09-08,Crémant de Loire,50534,France,750.0,12,99,Mousserande
2023-09-08,Ferrari,7721,Italy,750.0,12.5,179,Mousserande
2023-09-08,Massé,7865,France,375.0,12.5,199,Mousserande
2023-09-08,Karl Fredrik,53772,Italy,750.0,11.5,129,Mousserande
2023-09-08,Platino,77072,Spain,750.0,7,74,Mousserande
2023-09-08,Cremant de Bourgogne,70451,France,750.0,12,119,Mousserande
2023-09-08,Lindeman's,7413,Australia,750.0,11,79,Mousserande
2023-09-08,Castelmare,54329,Italy,750.0,11.5,110,Mousserande
2023-09-08,Segura Viudas,7779,Spain,375.0,12,73,Mousserande
2023-09-08,Dignitat Cava,78768,Spain,750.0,11.5,115,Mousserande
2023-09-08,Rotari,7701,Italy,750.0,12.5,139,Mousserande
2023-09-08,Il Barone,55062,Spain,750.0,11.5,79,Mousserande
2023-09-08,Louis Bouillot,77865,France,750.0,12,169,Mousserande
2023-09-08,Cava Blanc de Noirs,7610,Spain,750.0,12,119,Mousserande
2023-09-08,Tareq Taylor,57114,France,750.0,12,150,Mousserande
2023-09-08,Pol Rémy,76100,France,750.0,11,69,Mousserande
2023-09-08,Scheuermann,55904,Germany,750.0,12.5,159,Mousserande
2023-09-08,Mulderbosch,77909,South Africa,750.0,12.5,109,Mousserande
2023-09-08,André Clouet,7686,France,375.0,12,199,Mousserande
2023-09-08,Charles Wantz,7737,France,750.0,12,119,Mousserande
2023-09-08,Blue Nun,77405,Germany,750.0,11,109,Mousserande
2023-09-08,Barton & Guestier,7537,France,750.0,12,139,Mousserande
2023-09-08,Voilà,2175,Hungary,750.0,12.5,79,Mousserande
2023-09-08,Raza,95051,Portugal,750.0,12,169,Mousserande
2023-09-08,Gardo & Morris,7732,New Zealand,750.0,12,135,Mousserande
2023-09-08,Vilarnau,7731,Spain,750.0,12,109,Mousserande
2023-09-08,Casa Vinironia Prosecco,77719,Italy,750.0,11,117,Mousserande
