id,name,country,volume,alcohol_volume,price,type
Nr 7518,Moët & Chandon,France,1500.0,12,1002,Mousserande
Nr 50580,Dominio Alto,Spain,750.0,11.5,81,Mousserande
Nr 7553,Palmer,France,750.0,12,391,Mousserande
Nr 72749,Pizzolato,Italy,750.0,11.5,91,Mousserande
Nr 7555,Bonnet,France,750.0,12.5,331,Mousserande
Nr 75891,Gremillet,France,750.0,12.5,351,Mousserande
Nr 71275,Federico Paternina,Spain,750.0,11.5,81,Mousserande
Nr 73481,Baglietti,Italy,1500.0,11,262,Mousserande
Nr 94210,Jacob,Australia,750.0,11.5,131,Mousserande
Nr 7941,Champagne Taittinger,France,750.0,12.5,481,Mousserande
Nr 7410,Dopff Brut Cuvée Julien,France,375.0,12,86,Mousserande
Nr 7428,Dom Pérignon,France,750.0,12.5,2141,Mousserande
Nr 7555,Bonnet,France,375.0,12,200,Mousserande
Nr 7708,Gardo & Morris,New Zealand,750.0,12.5,121,Mousserande
Nr 77719,Casa Vinironia Prosecco,Italy,750.0,11,101,Mousserande
Nr 7549,Pol Roger,France,1500.0,12,1002,Mousserande
Nr 7536,Pol Roger,France,750.0,12.5,661,Mousserande
Nr 2531,Innocent Bystander,Australia,750.0,5.5,120,Mousserande
Nr 51274,Skumpa Frosty Mojito,Italy,750.0,7,80,Mousserande
Nr 2426,Fruitière Vinicole D’Arbois,France,750.0,12.5,151,Mousserande
Nr 2216,Cava Pinot Noir Rosé Organic,Spain,750.0,11.5,121,Mousserande
Nr 92634,Raventós i Blanc,Spain,750.0,12,211,Mousserande
Nr 7686,André Clouet,France,1500.0,12,722,Mousserande
Nr 7706,Asti Martini,Italy,750.0,7,80,Mousserande
Nr 51003,Karl Fredrik,Italy,750.0,11.5,111,Mousserande
Nr 94678,Bubbel SoMu,Sweden,750.0,11,252,Mousserande
Nr 7865,Massé,France,375.0,12.5,180,Mousserande
Nr 82941,Göteborg 400 år,Spain,750.0,11.5,141,Mousserande
Nr 77072,Platino,Spain,750.0,7,70,Mousserande
Nr 77405,Blue Nun,Germany,750.0,11,101,Mousserande
Nr 2054,Champagne Vieille France,France,750.0,12,471,Mousserande
Nr 7731,Vilarnau,Spain,750.0,12,111,Mousserande
Nr 7628,Pongrácz,South Africa,750.0,12,127,Mousserande
Nr 78416,Casteloro,Italy,750.0,11,81,Mousserande
Nr 70451,Cremant de Bourgogne,France,750.0,12.5,121,Mousserande
Nr 7610,Cava Blanc de Noirs,Spain,750.0,12,121,Mousserande
Nr 78768,Dignitat Cava,Spain,750.0,11.5,117,Mousserande
Nr 7413,Lindeman's,Australia,750.0,11,81,Mousserande
Nr 7954,Aves del Sur,Chile,750.0,12.5,101,Mousserande
Nr 73085,Castelmondo,Italy,750.0,11,81,Mousserande
Nr 7487,Deutz,France,750.0,12,481,Mousserande
Nr 7424,Veuve Clicquot,France,375.0,12,280,Mousserande
Nr 7567,Rotari,Italy,1500.0,12.5,262,Mousserande
Nr 51619,Debuchy,France,750.0,12,197,Mousserande
Nr 51641,Sofia y Sebastian,Spain,750.0,11.5,81,Mousserande
Nr 77865,Louis Bouillot,France,750.0,12,161,Mousserande
Nr 77253,André Clouet,France,750.0,12,431,Mousserande
Nr 7602,Louis Roederer,France,750.0,12,511,Mousserande
Nr 95048,Cuvée Royale Blanc de Blancs,South Africa,750.0,12,197,Mousserande
Nr 77522,Charles Heidsieck,France,750.0,12,500,Mousserande
Nr 7701,Rotari,Italy,750.0,12.5,131,Mousserande
Nr 2739,Vve Fourny & Fils,France,750.0,12,351,Mousserande
Nr 94208,Curvos Sparkling,Portugal,750.0,12.5,181,Mousserande
Nr 97714,Ferrari Perlé,Italy,750.0,12.5,230,Mousserande
Nr 75350,Charles de Fère,France,750.0,11.5,81,Mousserande
Nr 7372,Palmer & Co,France,375.0,12,200,Mousserande
Nr 77774,Freixenet Prosecco,Italy,750.0,11,111,Mousserande
Nr 7686,André Clouet,France,375.0,12,200,Mousserande
Nr 7598,Moët & Chandon,France,375.0,12,290,Mousserande
Nr 50534,Crémant de Loire,France,750.0,12,101,Mousserande
Nr 7737,Charles Wantz,France,750.0,12,121,Mousserande
Nr 72831,Gremillet,France,750.0,12.5,421,Mousserande
Nr 92118,Charles Heidsieck,France,750.0,12,651,Mousserande
Nr 52537,Champagne Comtesse de Neples,France,750.0,12,191,Mousserande
Nr 7723,Diebolt-Vallois,France,750.0,12.5,431,Mousserande
Nr 7471,Bonnet,France,750.0,12.5,351,Mousserande
Nr 7350,Pierre Peters,France,750.0,12,421,Mousserande
Nr 7494,Krug Grande Cuvée,France,750.0,12.5,2141,Mousserande
Nr 7783,Haute Couture Rosé,France,750.0,8,100,Mousserande
Nr 7546,André Clouet,France,750.0,12,401,Mousserande
Nr 77377,Ca' Montini,Italy,750.0,11,111,Mousserande
Nr 7430,Jeanmaire,France,750.0,12,241,Mousserande
Nr 91113,Bründlmayer,Austria,750.0,12,251,Mousserande
Nr 50287,Gremillet,France,750.0,12.5,301,Mousserande
Nr 7537,Barton & Guestier,France,750.0,12,131,Mousserande
Nr 7418,Bollinger,France,1500.0,12,1202,Mousserande
Nr 77710,Henriot,France,750.0,12,681,Mousserande
Nr 7960,Champagne Charles Ellner,France,750.0,12,280,Mousserande
Nr 77909,Mulderbosch,South Africa,750.0,12.5,101,Mousserande
Nr 90309,Agusti Torello,Spain,750.0,12,231,Mousserande
Nr 94955,Pietramore,Italy,750.0,12.5,151,Mousserande
Nr 95112,Harrow & Hope,UK,750.0,12,451,Mousserande
Nr 77071,Pol Roger,France,750.0,12.5,651,Mousserande
Nr 92596,Offshoot,New Zealand,750.0,13,167,Mousserande
Nr 76510,Louis Roederer,France,750.0,12,721,Mousserande
Nr 7486,Prosecco la Robínía,Italy,750.0,11,91,Mousserande
Nr 93018,pip-pip,UK,750.0,12,291,Mousserande
Nr 91289,Vouvray Brut,France,750.0,13,191,Mousserande
Nr 76100,Pol Rémy,France,750.0,11,61,Mousserande
Nr 95085,Exton Park,UK,750.0,11.5,381,Mousserande
